rateRowId,sro,name_hi,name_en,slug,override_en
bikapur-1001,bikapur,अरसठ,Arsath,arsath,
bikapur-1002,bikapur,अवनपुर,Awanpur,awanpur,
bikapur-1003,bikapur,अमॉवा,Amowa,amowa,
bikapur-1004,bikapur,अमौनी,Amauni,amauni,
bikapur-1005,bikapur,असरेवा,Asrewa,asrewa,
bikapur-1006,bikapur,अरूवावां,Aruwawan,aruwawan,
bikapur-1007,bikapur,असकरनपुर,Asakranpur,asakranpur,
bikapur-1008,bikapur,अहिरौली,Ahirauli,ahirauli,
bikapur-1009,bikapur,अहिरानीगोपालपुर,Ahiranigopalpur,ahiranigopalpur,
bikapur-1010,bikapur,अरियासी,Ariyasi,ariyasi,
bikapur-1011,bikapur,औहरपुर,Auharpur,auharpur,
bikapur-1012,bikapur,ओदीरतनाथपुर,Odiratnathpur,odiratnathpur,
bikapur-1013,bikapur,अंकारी,Ankari,ankari,
bikapur-1014,bikapur,इमिलिया,Imiliya,imiliya,
bikapur-1015,bikapur,इछौरी,Ichhauri,ichhauri,
bikapur-1016,bikapur,इस्लामपुर,Islampur,islampur,
bikapur-1017,bikapur,इस्माइलपुर,Ismailpur,ismailpur,
bikapur-1018,bikapur,उदईपुर,Udaipur,udaipur,
bikapur-1019,bikapur,उँचगांव,Unchganv,unchganv,
bikapur-1020,bikapur,उमरपुर,Umarpur,umarpur,
bikapur-1021,bikapur,उमरनी आ0 सुल्तानपुर,Umarni A0 Sultanpur,umarni-a0-sultanpur,
bikapur-1022,bikapur,उसरी,Usri,usri,
bikapur-1023,bikapur,उमरनीपिपरी,Umarnipipri,umarnipipri,
bikapur-1024,bikapur,उमापुरकैथोलिया,Umapurkaitholiya,umapurkaitholiya,
bikapur-1025,bikapur,उमापुरबादफरोशा,Umapurbadafrosha,umapurbadafrosha,
bikapur-1026,bikapur,करौंदी मु0 धरेठादशरथपुर,Karaundi Mu0 Dharethadashrathpur,karaundi-mu0-dharethadashrathpur,
bikapur-1027,bikapur,करौंदी मु0 हैदरगंज,Karaundi Mu0 Haidarganj,karaundi-mu0-haidarganj,
bikapur-1028,bikapur,ककराही,Kakrahi,kakrahi,
bikapur-1029,bikapur,ककोली,Kakoli,kakoli,
bikapur-1030,bikapur,कनावां,Kanawan,kanawan,
bikapur-1031,bikapur,कटारी,Katari,katari,
bikapur-1032,bikapur,करनपुर,Karanpur,karanpur,
bikapur-1033,bikapur,कटौना,Katauna,katauna,
bikapur-1034,bikapur,कटकामकदूमपुर,Katkamakdumpur,katkamakdumpur,
bikapur-1035,bikapur,करौंदीमाफी,Karaundimafi,karaundimafi,
bikapur-1036,bikapur,कनकपुरझगरौली,Kanakpurjhagrauli,kanakpurjhagrauli,
bikapur-1037,bikapur,कल्यानपुरछितौना,Kalyanpurchhitauna,kalyanpurchhitauna,
bikapur-1038,bikapur,कल्यानपुरचकडुहिया,Kalyanpurchakduhiya,kalyanpurchakduhiya,
bikapur-1039,bikapur,करनाईपुरमु0पारागरीबशाह,Karnaipurmu0paragribshah,karnaipurmu0paragribshah,
bikapur-1040,bikapur,करनाईपुर मु0 भीटी,Karnaipur Mu0 Bhiti,karnaipur-mu0-bhiti,
bikapur-1041,bikapur,कादीपुर,Kadipur,kadipur,
bikapur-1042,bikapur,कादीपुर मु0 सरायखरगी,Kadipur Mu0 Saraykhargi,kadipur-mu0-saraykhargi,
bikapur-1043,bikapur,किलहना,Kilahna,kilahna,
bikapur-1044,bikapur,किछूटीकिशुनदासपुर,Kichhutikishundaspur,kichhutikishundaspur,
bikapur-1045,bikapur,कुढ़ा,Kurha,kurha,
bikapur-1046,bikapur,कुआंडाड़,Kuandar,kuandar,
bikapur-1047,bikapur,कूरेभारी,Kurebhari,kurebhari,
bikapur-1048,bikapur,केलालालखॉ,Kelalalkho,kelalalkho,
bikapur-1049,bikapur,केवलापुरउर्फतकमीनगंज,Kevlapuraurfatakminganj,kevlapuraurfatakminganj,
bikapur-1050,bikapur,केसरूआबुजुर्ग,Kesruabujurg,kesruabujurg,
bikapur-1051,bikapur,कोदैला,Kodaila,kodaila,
bikapur-1052,bikapur,कोंछा,Konchha,konchha,
bikapur-1053,bikapur,कोड़रामुसलमीन,Korramusalmin,korramusalmin,
bikapur-1054,bikapur,कोड़राब्रम्हनान,Korrabramhanan,korrabramhanan,
bikapur-1055,bikapur,कोरोराघवपुर,Kororaghavpur,kororaghavpur,
bikapur-1056,bikapur,कांधरपुर,Kandharpur,kandharpur,
bikapur-1057,bikapur,खपराडीह,Khapradih,khapradih,
bikapur-1058,bikapur,खजुरहट,Khajurhat,khajurhat,
bikapur-1059,bikapur,खजुरीरामपुर,Khajurirampur,khajurirampur,
bikapur-1060,bikapur,खिदिदरपुर,Khididarpur,khididarpur,
bikapur-1061,bikapur,खुटेहना,Khutehna,khutehna,
bikapur-1062,bikapur,खेवली,Khevli,khevli,
bikapur-1063,bikapur,खेतपलिया,Khetapliya,khetapliya,
bikapur-1064,bikapur,खेमासराय,Khemasray,khemasray,
bikapur-1065,bikapur,खेमीपुरनिधियावां,Khemipurnidhiyawan,khemipurnidhiyawan,
bikapur-1066,bikapur,खेमपुरचंदई,Khempurchandai,khempurchandai,
bikapur-1067,bikapur,खोंधूपुर,Khondhupur,khondhupur,
bikapur-1068,bikapur,खौपुर,Khaupur,khaupur,
bikapur-1069,bikapur,गरौली,Garauli,garauli,
bikapur-1070,bikapur,गयासपुर,Gayaspur,gayaspur,
bikapur-1071,bikapur,गण्डई,Gandai,gandai,
bikapur-1072,bikapur,गींजा,Ginja,ginja,
bikapur-1073,bikapur,गुन्धौर,Gundhaur,gundhaur,
bikapur-1074,bikapur,गुरौली,Gurauli,gurauli,
bikapur-1075,bikapur,गोपालापुर,Gopalapur,gopalapur,
bikapur-1076,bikapur,गोबिन्दपुर,Gobindpur,gobindpur,
bikapur-1077,bikapur,गोठौरा,Gothaura,gothaura,
bikapur-1078,bikapur,गौरा,Gaura,gaura,
bikapur-1079,bikapur,गौहनियां,Gauhniyan,gauhniyan,
bikapur-1080,bikapur,गौहानीखुर्द,Gauhanikhurd,gauhanikhurd,
bikapur-1081,bikapur,गौहानीकलां,Gauhanikalan,gauhanikalan,
bikapur-1082,bikapur,गंगापुर मु0 रमऊपुर,Gangapur Mu0 Ramaupur,gangapur-mu0-ramaupur,
bikapur-1083,bikapur,गंगापुर मु0 टिकरी,Gangapur Mu0 Tikri,gangapur-mu0-tikri,
bikapur-1084,bikapur,गंगापुर मु0 ढ़ेमाबैश्य,Gangapur Mu0 Rhemabaishy,gangapur-mu0-rhemabaishy,
bikapur-1085,bikapur,घूरीटीकर,Ghuritikar,ghuritikar,
bikapur-1086,bikapur,चकसलेम,Chakaslem,chakaslem,
bikapur-1087,bikapur,चकमोदमिदपुर,Chakmodmidpur,chakmodmidpur,
bikapur-1088,bikapur,चक्सेनपुर,Chaksenpur,chaksenpur,
bikapur-1089,bikapur,चम्पारपुर,Champarpur,champarpur,
bikapur-1090,bikapur,चरावां,Charawan,charawan,
bikapur-1091,bikapur,चर्तुभुजपुर,Chartubhujpur,chartubhujpur,
bikapur-1092,bikapur,चन्दीपुरनगहरा,Chandipurangahra,chandipurangahra,
bikapur-1093,bikapur,चितांवा,Chitanwa,chitanwa,
bikapur-1094,bikapur,चेतरा,Chetra,chetra,
bikapur-1095,bikapur,चौबेपुर,Chaubepur,chaubepur,
bikapur-1096,bikapur,चौरेचन्दौली,Chaurechandauli,chaurechandauli,
bikapur-1097,bikapur,चॉदपुर,Chodpur,chodpur,
bikapur-1098,bikapur,चॉदपुर मु0 घूरीटीकर,Chodpur Mu0 Ghuritikar,chodpur-mu0-ghuritikar,
bikapur-1099,bikapur,चंवरढ़ार,Chanwarrhar,chanwarrhar,
bikapur-1100,bikapur,जजवारा,Jajwara,jajwara,
bikapur-1101,bikapur,जयसिंहमऊ,Jaysinhmau,jaysinhmau,
bikapur-1102,bikapur,जगदीशपुर उर्फ पाठकपुर,Jagdishpur Urf Pathakpur,jagdishpur-urf-pathakpur,
bikapur-1103,bikapur,जमोलीखुर्द,Jamolikhurd,jamolikhurd,
bikapur-1104,bikapur,जलालपुरमाफी,Jalalpurmafi,jalalpurmafi,
bikapur-1105,bikapur,जलालपुरभग्गू,Jalalpurbhaggu,jalalpurbhaggu,
bikapur-1106,bikapur,जाना,Jana,jana,
bikapur-1107,bikapur,जासरपुर,Jasarpur,jasarpur,
bikapur-1108,bikapur,जेरूवा,Jeruwa,jeruwa,
bikapur-1109,bikapur,जैनपुर,Jainpur,jainpur,
bikapur-1110,bikapur,जोहन,Johan,johan,
bikapur-1111,bikapur,टिकरी,Tikri,tikri,
bikapur-1112,bikapur,डगराभारी,Dagrabhari,dagrabhari,
bikapur-1113,bikapur,डेहरियावां,Dehriyawan,dehriyawan,
bikapur-1114,bikapur,ढ़ेमाबैश्य,Rhemabaishy,rhemabaishy,
bikapur-1115,bikapur,ढ़ेमाशिवबक्शराय,Rhemashivbaksharay,rhemashivbaksharay,
bikapur-1116,bikapur,तरहरा,Tarahra,tarahra,
bikapur-1117,bikapur,तारून,Tarun,tarun,
bikapur-1118,bikapur,ताजपुर,Tajpur,tajpur,
bikapur-1119,bikapur,तारडीह,Tardih,tardih,
bikapur-1120,bikapur,तारापुर,Tarapur,tarapur,
bikapur-1121,bikapur,तिवारीपुर,Tiwaripur,tiwaripur,
bikapur-1122,bikapur,तेन्दुआमाफी,Tenduamafi,tenduamafi,
bikapur-1123,bikapur,तोरोमाफी,Toromafi,toromafi,
