sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
bikapur,38,"1–राष्ट्रीय राजमार्ग अयोध्या से प्रयागराज मार्ग पर राजस्व ग्राम तेन्दुआमाफी की सीमा प्रारम्भ से तेन्दुआमाफी, बीकापुर नासिरपुरमूसी होते हुये बिलारीमाफी ग्राम (नगर पंचायत की अतिंम सीमा) तक।",बीकापुर,1221,32000,66000,60000,55000,
bikapur,38,"1–राष्ट्रीय राजमार्ग अयोध्या से प्रयागराज मार्ग पर राजस्व ग्राम तेन्दुआमाफी की सीमा प्रारम्भ से तेन्दुआमाफी, बीकापुर नासिरपुरमूसी होते हुये बिलारीमाफी ग्राम (नगर पंचायत की अतिंम सीमा) तक।",तेन्दुआमाफी,1122,32000,66000,60000,55000,
bikapur,38,"1–राष्ट्रीय राजमार्ग अयोध्या से प्रयागराज मार्ग पर राजस्व ग्राम तेन्दुआमाफी की सीमा प्रारम्भ से तेन्दुआमाफी, बीकापुर नासिरपुरमूसी होते हुये बिलारीमाफी ग्राम (नगर पंचायत की अतिंम सीमा) तक।",नासिरपुरमूसी,1158,32000,66000,60000,55000,
bikapur,38,"1–राष्ट्रीय राजमार्ग अयोध्या से प्रयागराज मार्ग पर राजस्व ग्राम तेन्दुआमाफी की सीमा प्रारम्भ से तेन्दुआमाफी, बीकापुर नासिरपुरमूसी होते हुये बिलारीमाफी ग्राम (नगर पंचायत की अतिंम सीमा) तक।",बिलारीमाफी,1218,32000,66000,60000,55000,
bikapur,38,2–राष्ट्रीय राजमार्ग (भारती इंटर कालेज के सामने) से रेवतीगंज मार्ग पर राजस्व ग्राम रामपुरपरेई की सीमा तक।,तेन्दुआमाफी,1122,26000,60000,55000,50000,
bikapur,38,2–राष्ट्रीय राजमार्ग (भारती इंटर कालेज के सामने) से रेवतीगंज मार्ग पर राजस्व ग्राम रामपुरपरेई की सीमा तक।,रामपुर परेई,1291,26000,60000,55000,50000,
bikapur,38,3–बीकापुर से रेवतीगंज मार्ग के तिराहे से धेनुवावा मार्ग पर रामपुर परेई ग्राम की सीमा तक।,रामपुर परेई,1291,26000,60000,55000,50000,
bikapur,39,4–बीकापुर से जाना मार्ग पर राष्ट्रीय राजमार्ग से राजस्व ग्राम बीकापुर होते हुये तेन्दुआमाफी ग्राम की सीमा तक।,बीकापुर,1221,26000,60000,55000,50000,
bikapur,39,4–बीकापुर से जाना मार्ग पर राष्ट्रीय राजमार्ग से राजस्व ग्राम बीकापुर होते हुये तेन्दुआमाफी ग्राम की सीमा तक।,तेन्दुआमाफी,1122,26000,60000,55000,50000,
bikapur,39,5–राष्ट्रीय राज्यमार्ग प्रारम्भ से देशदीपक स्कूल होते हुये कटारी मार्ग पर तेन्दुआमाफी होते हुये नन्दरौली की आखिरी सीमा तक।,तेन्दुआमाफी,1122,22000,55000,50000,45000,
bikapur,39,5–राष्ट्रीय राज्यमार्ग प्रारम्भ से देशदीपक स्कूल होते हुये कटारी मार्ग पर तेन्दुआमाफी होते हुये नन्दरौली की आखिरी सीमा तक।,नन्दरौली,1152,22000,55000,50000,45000,
bikapur,39,5–राष्ट्रीय राज्यमार्ग प्रारम्भ से देशदीपक स्कूल होते हुये कटारी मार्ग पर तेन्दुआमाफी होते हुये नन्दरौली की आखिरी सीमा तक।,तोरोमाफी,1123,22000,55000,50000,45000,
bikapur,39,6–राष्ट्रीय राजमार्ग से खेमासराय मार्ग पर राष्ट्रीय राज्यमार्ग से नासिरपुरमूसी होते हुये राजस्व ग्राम औहरपुर की सीमा तक।,नासिरपुरमूसी,1158,22000,55000,50000,45000,
bikapur,39,6–राष्ट्रीय राजमार्ग से खेमासराय मार्ग पर राष्ट्रीय राज्यमार्ग से नासिरपुरमूसी होते हुये राजस्व ग्राम औहरपुर की सीमा तक।,औहरपुर,1011,22000,55000,50000,45000,
bikapur,39,7–राष्ट्रीय राजमार्ग से किसानगंज मार्ग पर बिलारीमाफी से सेमरा होते हुये नन्दरौली तिराहे (किसानगंज मार्ग तिराहे) तक।,बिलारीमाफी,1218,22000,55000,50000,45000,
bikapur,39,7–राष्ट्रीय राजमार्ग से किसानगंज मार्ग पर बिलारीमाफी से सेमरा होते हुये नन्दरौली तिराहे (किसानगंज मार्ग तिराहे) तक।,सेमरा,1326,22000,55000,50000,45000,
bikapur,39,7–राष्ट्रीय राजमार्ग से किसानगंज मार्ग पर बिलारीमाफी से सेमरा होते हुये नन्दरौली तिराहे (किसानगंज मार्ग तिराहे) तक।,नन्दरौली,1152,22000,55000,50000,45000,
bikapur,39,8–राष्ट्रीय राजमार्ग गन्ना सोसायटी से पूरे गजा मार्ग पर सीमा ग्राम तेन्दुआमाफी आरम्भ से तेन्दुआमाफी सीमा क्षेत्र तक।,तेन्दुआमाफी,1122,22000,55000,50000,45000,
bikapur,39,9–राष्ट्रीय राजमार्ग से सिनेमा हाल मार्ग पर लवकुश यादव के मकान तक।,तेन्दुआमाफी,1122,22000,55000,50000,45000,
bikapur,39,10–राष्ट्रीय राजमार्ग पेट्रोल पम्प से बबुरीगढ़ मार्ग पर नासिरपुरमूसी व तेन्दुआमाफी के क्षेत्र तक।,नासिरपुरमूसी,1158,22000,55000,50000,45000,
bikapur,39,10–राष्ट्रीय राजमार्ग पेट्रोल पम्प से बबुरीगढ़ मार्ग पर नासिरपुरमूसी व तेन्दुआमाफी के क्षेत्र तक।,तेन्दुआमाफी,1122,22000,55000,50000,45000,
bikapur,39,11–राष्ट्रीय राजमार्ग से सींका मार्ग पर राष्ट्रीय राजमार्ग से किशन के मकान तक।,तेन्दुआमाफी,1122,20000,50000,45000,40000,
bikapur,39,12–बीकापुर जाना मार्ग से ब्लाक रोड पर बीकापुर ब्लाक आफिस तक।,तेन्दुआमाफी,1122,22000,55000,50000,45000,
bikapur,39,13–राष्ट्रीय राजमार्ग –(ब्लाक रोड) से पूरे बिहारी तिवारी मार्ग पर राजस्व ग्राम तेन्दुआमाफी की सीमा तक।,तेन्दुआमाफी,1122,22000,55000,50000,45000,
bikapur,39,14–जलालपुरमाफी मिझौडामार्ग पर राष्ट्रीय राजमार्ग से भानुमती स्कूल मोड तक।,जलालपुरमाफी,1104,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,जलालपुरमाफी,1104,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,रहेठ,1283,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,पातूपुर,1179,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,चाँदपुर,1097,25000,58000,54000,49000,
bikapur,40,16–राष्ट्रीय राजमार्ग से कुचेरामार्ग पर राष्ट्रीय राजमार्ग से राजस्व ग्राम जलालपुरमाफी की सीमा तक।,जलालपुरमाफी,1104,20000,50000,45000,40000,
bikapur,40,17–जलालपुरमाफी मिझौडामार्ग पर सहकारी समिति मीतनपुर से उर्मिला महाविद्यालय गेट तक।,मीतनपुर,1264,22000,55000,50000,45000,
bikapur,40,17–जलालपुरमाफी मिझौडामार्ग पर सहकारी समिति मीतनपुर से उर्मिला महाविद्यालय गेट तक।,रामपुरभगन,1290,22000,55000,50000,45000,
bikapur,40,17–जलालपुरमाफी मिझौडामार्ग पर सहकारी समिति मीतनपुर से उर्मिला महाविद्यालय गेट तक।,ऊचगांव,1019,22000,55000,50000,45000,
bikapur,40,18–जलालपुरमाफी मिझौडा मार्ग से दर्शननगर मार्ग पर प्रारम्भ से सेवा नर्सिगहोम तक।,रामपुरभगन,1290,20000,50000,45000,40000,
bikapur,40,18–जलालपुरमाफी मिझौडा मार्ग से दर्शननगर मार्ग पर प्रारम्भ से सेवा नर्सिगहोम तक।,भीखीपुरझलिहा,1241,20000,50000,45000,40000,
bikapur,40,19–जलालपुरमाफी मिझौडामार्ग से (कृषक मोड प्रारम्भ) से कृषक विद्यालय तक।,रामपुरभगन,1290,20000,50000,45000,40000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,पारागरीबशाह,1177,22000,55000,50000,45000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,तारून,1117,22000,55000,50000,45000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,सरायशेखमहमूद,1315,22000,55000,50000,45000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,बेलगरा,1226,22000,55000,50000,45000,
bikapur,40,21–जलालपुरमाफी मिझौडामार्ग से (तारून चौराहा से) सामुदायिक स्वास्थ केन्द्र मार्ग पर अमित मेमोरियल डायग्नोस्टिक सेन्टर के आगे छठ्ठीदीन के मकान (जय शिक्षक टेन्ट हाउस के सामने) तक।,तारून,1117,17000,45000,40000,35000,
bikapur,41,22–जलालपुरमाफी मिझौडामार्ग से (तारून चौराहा) से गोसाईगंजमार्ग पर राजस्वग्राम तारून की सीमा तक।,तारून,1117,20000,50000,45000,40000,
bikapur,41,23–जलालपुरमाफी मिझौडामार्ग से हैदरगंजमार्ग पर मोड प्रारम्भ से चक्रवर्ती नेत्र चिकित्सालय तक।,तारून,1117,22000,55000,50000,45000,
