sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
bikapur,44,1,1001,अरसठ,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,44,2,1002,अवनपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,44,3,1003,अमॉवा,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,45,4,1004,अमौनी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,5,1005,असरेवा,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,45,6,1006,अरूवावां,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,7,1007,असकरनपुर,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,45,8,1008,अहिरौली,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,9,1009,अहिरानीगोपालपुर,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,45,10,1010,अरियासी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,11,1011,औहरपुर,,अर्द्धनगरीय,11000,18000,20000,50000,46000,43000,150,110,90,75,100,50,
bikapur,45,12,1012,ओदीरतनाथपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,13,1013,अंकारी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,14,1014,इमिलिया,,ग्रामीण(वि0),6500,9000,10500,45000,40000,35000,138,100,85,68,90,45,
bikapur,45,15,1015,इछौरी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,16,1016,इस्लामपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,17,1017,इस्माइलपुर,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,45,18,1018,उदईपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,19,1019,उँचगांव,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,45,20,1020,उमरपुर,,ग्रामीण(वि0),6500,9000,10500,45000,40000,35000,138,100,85,68,90,45,
bikapur,45,21,1021,उमरनी आ0 सुल्तानपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,22,1022,उसरी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,23,1023,उमरनीपिपरी,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,45,24,1024,उमापुरकैथोलिया,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,25,1025,उमापुरबादफरोशा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,26,1026,करौंदी मु0 धरेठादशरथपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,45,27,1027,करौंदी मु0 हैदरगंज,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,28,1028,ककराही,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,29,1029,ककोली,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,46,30,1030,कनावां,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,46,31,1031,कटारी,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,46,32,1032,करनपुर,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,46,33,1033,कटौना,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,34,1034,कटकामकदूमपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,35,1035,करौंदीमाफी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,36,1036,कनकपुरझगरौली,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,46,37,1037,कल्यानपुरछितौना,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,46,38,1038,कल्यानपुरचकडुहिया,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,39,1039,करनाईपुरमु0पारागरीबशाह,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,40,1040,करनाईपुर मु0 भीटी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,41,1041,कादीपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,42,1042,कादीपुर मु0 सरायखरगी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,43,1043,किलहना,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,44,1044,किछूटीकिशुनदासपुर,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,46,45,1045,कुढ़ा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,46,1046,कुआंडाड़,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,47,1047,कूरेभारी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,46,48,1048,केलालालखॉ,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,46,49,1049,केवलापुरउर्फतकमीनगंज,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
