sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
milkipur,40,1. अयोध्या से रायबरेली मार्ग पर मिल्कीपुर में फायर स्टेशन से चॉदपुर मोड ( प्रेम प्रकाश उपाध्याय के मकान) तक,मिल्कीपुर,1198,25000,56000,54000,52000,vcode not in source; filled by name match to P4
milkipur,40,2. अयोध्या से रायबरेली मार्ग पर कुमारगंज में चन्द्रबली सिंह महिला पी0जी0 कालेज गेट से पावर हाउस कुमारगंज तक,बवां,1171,26000,58000,56000,54000,vcode not in source; filled by name match to P4 (बवॉं)
milkipur,40,2. अयोध्या से रायबरेली मार्ग पर कुमारगंज में चन्द्रबली सिंह महिला पी0जी0 कालेज गेट से पावर हाउस कुमारगंज तक,शिवनाथपुर,1273,26000,58000,56000,54000,vcode not in source; filled by name match to P4
milkipur,40,3. कुमारगंज से घोड़वल जनपदीय मार्ग पर खण्डासा मोड़ ( देव जनरल स्टोर ) से अकमा इण्डेन ग्रामीण वितरण गैस एजेन्सी तक,बवां,1171,26000,58000,56000,54000,vcode not in source; filled by name match to P4 (बवॉं)
milkipur,40,3. कुमारगंज से घोड़वल जनपदीय मार्ग पर खण्डासा मोड़ ( देव जनरल स्टोर ) से अकमा इण्डेन ग्रामीण वितरण गैस एजेन्सी तक,अकमा,1012,26000,58000,56000,54000,vcode not in source; filled by name match to P4
milkipur,41,4. इनायतनगर से अमानीगंज मार्ग पर इनायतनगर में थाना कोतवाली मोड़ से मनोज ट्रेडर्स तक,इनायतनगर,1022,25000,56000,54000,52000,vcode not in source; filled by name match to P4
milkipur,41,5. अयोध्या से रायबरेली मार्ग पर इनायतनगर में भारत संचार निगम लिमिटेड आफिस से संदीप हीरो एजेन्सी तक,इनायतनगर,1022,25000,56000,54000,52000,vcode not in source; filled by name match to P4
milkipur,41,6. अयोध्या से रायबरेली मार्ग पर देवरिया (बारून बाजार) में तमसा पुल से राजकीय पशुचिकित्सालय तक,देवरिया,1128,24000,55000,53000,51000,vcode not in source; filled by name match to P4 (देवरिया(बारून))
milkipur,41,6. अयोध्या से रायबरेली मार्ग पर देवरिया (बारून बाजार) में तमसा पुल से राजकीय पशुचिकित्सालय तक,खिहारन,1061,24000,55000,53000,51000,vcode not in source; filled by name match to P4
milkipur,42,7. अयोध्या से रायबरेली मार्ग पर इरशाद ट्रेडर्स (चमनगंज बाजार ) से बैंक आफ बडौदा चमनगंज तक,खिहारन,1061,24000,55000,53000,51000,vcode not in source; filled by name match to P4
milkipur,42,7. अयोध्या से रायबरेली मार्ग पर इरशाद ट्रेडर्स (चमनगंज बाजार ) से बैंक आफ बडौदा चमनगंज तक,करमडांडा,1052,24000,55000,53000,51000,vcode not in source; filled by name match to P4 (करमडांडा(चमनगंज))
milkipur,42,8. अयोध्या से रायबरेली मार्ग पर भारत पेट्रोलियम कुचेरा से सेवरा मोड़ तक,कुचेरा,1051,25000,56000,54000,52000,vcode not in source; filled by name match to P4
milkipur,42,8. अयोध्या से रायबरेली मार्ग पर भारत पेट्रोलियम कुचेरा से सेवरा मोड़ तक,भदोखरा,1194,24000,55000,53000,51000,vcode not in source; filled by name match to P4
milkipur,42,9. मिल्कीपुर से रूदौली जनपदीय मार्ग पर टण्डवा नहर से डूड़ी में हिन्दुस्तान पेट्रोल पम्प तक,डूड़ी,1111,20000,51000,49000,47000,vcode not in source; filled by name match to P4
milkipur,42,9. मिल्कीपुर से रूदौली जनपदीय मार्ग पर टण्डवा नहर से डूड़ी में हिन्दुस्तान पेट्रोल पम्प तक,मोहम्मदपुर,1211,20000,51000,49000,47000,vcode not in source; name-matched to P4 मोहम्मदपुर(अमानीगंज) - only P4 match but location uncertain; verify
milkipur,42,9. मिल्कीपुर से रूदौली जनपदीय मार्ग पर टण्डवा नहर से डूड़ी में हिन्दुस्तान पेट्रोल पम्प तक,टण्डवा,1104,20000,51000,49000,47000,vcode not in source; filled by name match to P4
