sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
milkipur,43,1,1001,अंजरौली,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,75,65,60,90,45,
milkipur,43,2,1002,अखयपुर,,ग्रामीण,7000,8000,10000,35000,33000,31000,0,60,55,50,65,35,
milkipur,43,3,1003,अस्थना,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,74,64,60,90,44,
milkipur,43,4,1004,अगरवा,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,65,55,50,80,36,
milkipur,44,5,1005,अलीपुर खजुरी,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,74,64,60,90,44,
milkipur,44,6,1006,अधियौना,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,65,55,50,80,36,
milkipur,44,7,1007,अधियारी,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,65,55,50,80,36,
milkipur,44,8,1008,अहरनसुवंश,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,90,80,75,100,45,
milkipur,44,9,1009,आदिलपुर,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,90,80,75,100,45,
milkipur,44,10,1010,अछोरा,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,90,80,75,100,45,
milkipur,44,11,1011,अमावाछीटन,,अर्द्धनगरीय,14000,16000,20000,46000,44000,42000,0,100,90,85,110,50,
milkipur,44,12,1012,अकमा,,अर्द्धनगरीय,14000,16000,20000,46000,44000,42000,0,100,90,85,110,45,
milkipur,44,13,1013,अमरहर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,62,52,47,70,36,
milkipur,44,14,1014,ओरवा,,ग्रामीण,12000,13000,15000,41000,39000,38000,0,74,64,60,90,44,
milkipur,44,15,1015,अमावांसूफी,,ग्रामीण,12100,13500,16000,42000,40000,38000,0,75,65,60,90,46,
milkipur,44,16,1016,अल्लापुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,50,45,70,35,
milkipur,44,17,1017,अटेसर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,62,52,47,71,36,
milkipur,44,18,1018,अरमारूपीपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,62,52,47,71,36,
milkipur,44,19,1019,अहिरौली सलोनी,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,80,40,
milkipur,44,20,1020,अड़बड़ सरैया,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,64,58,53,78,36,
milkipur,44,21,1021,ईटगांव,,ग्रामीण,12000,13000,15000,41000,39000,38000,100,80,70,65,93,45,
milkipur,45,22,1022,इनायतनगर,,ग्रामीण,14000,17000,20000,46000,44000,42000,150,90,80,75,110,48,
milkipur,45,23,1023,इसौली भारी,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,60,55,50,70,35,
milkipur,45,24,1024,इमामगंज,,ग्रामीण,12000,13000,14000,39000,37000,35000,110,70,60,55,90,38,
milkipur,45,25,1025,इदिलपुर,,ग्रामीण,12000,13000,14000,39000,37000,35000,110,70,60,55,90,38,
milkipur,45,26,1026,इछोई,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,61,51,46,72,40,
milkipur,45,27,1027,इब्राहिमपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,61,51,46,72,38,
milkipur,45,28,1028,इटौजा,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,62,52,47,73,39,
milkipur,45,29,1029,उधुई,,ग्रामीण,11000,13000,16000,42000,40000,38000,120,70,60,55,85,44,
milkipur,45,30,1030,उरूवा वैश्य,,ग्रामीण,10000,12000,13000,39000,37000,36000,0,68,58,53,82,40,
milkipur,45,31,1031,उघरनपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,36,
milkipur,45,32,1032,उछाहपाली,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,65,60,55,75,40,
milkipur,45,33,1033,उपाध्यायपुर,,ग्रामीण,12000,14000,16000,42000,40000,38000,125,80,70,65,95,40,
milkipur,45,34,1034,कुन्धनाखुर्द,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,60,55,50,70,35,
milkipur,45,35,1035,कलन्दरपुर,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,60,55,50,70,35,
milkipur,45,36,1036,किनौली,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,80,70,65,90,40,
milkipur,45,37,1037,कुम्भी,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,75,65,60,85,39,
milkipur,45,38,1038,कीन्हुपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,65,55,50,75,35,
milkipur,46,39,1039,कहुवा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,65,55,50,75,35,
milkipur,46,40,1040,कुरावन,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,75,65,60,85,40,
milkipur,46,41,1041,कदनपुर,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,75,65,60,85,40,
milkipur,46,42,1042,केशवपुर चिलबिली,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,72,62,57,81,40,
milkipur,46,43,1043,कल्याणपुर केवटानी,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,72,62,57,81,40,
milkipur,46,44,1044,कौराह,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,71,61,56,80,38,
milkipur,46,45,1045,कटघरा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,70,60,55,78,36,
milkipur,46,46,1046,कटैया बालम,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,68,58,53,75,34,
milkipur,46,47,1047,कंजी,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,70,60,55,78,36,
milkipur,46,48,1048,कुन्दुर्खाकला,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,71,61,56,79,36,
milkipur,46,49,1049,कोटिया,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,100,75,70,105,40,
milkipur,46,50,1050,कोटडीह,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,60,35,
milkipur,46,51,1051,कुचेरा,,ग्रामीण,14000,18000,20000,46000,44000,42000,150,95,85,80,105,45,
milkipur,46,52,1052,करमडांडा(चमनगंज),,ग्रामीण,14000,18000,20000,46000,44000,42000,140,93,83,75,100,43,
milkipur,46,53,1053,कन्दई कला,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,68,58,53,77,40,
milkipur,46,54,1054,कटैया भादी,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,53,48,43,60,32,
milkipur,46,55,1055,किठावा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,53,48,43,60,32,
milkipur,47,56,1056,खजुरी मिर्जापुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,53,48,43,60,32,
milkipur,47,57,1057,खरियौना,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,53,48,43,60,32,
milkipur,47,58,1058,खजुरी आ0 सुल्तानपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,53,48,43,60,32,
milkipur,47,59,1059,खड़भड़िया,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,71,61,56,80,40,
milkipur,47,60,1060,खण्डासा,,ग्रामीण,12000,13000,14000,39000,37000,35000,0,75,65,60,85,43,
milkipur,47,61,1061,खिहारन,,ग्रामीण,14000,18000,20000,46000,44000,42000,140,93,83,78,105,45,
milkipur,47,62,1062,खड़सेपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,60,32,
milkipur,47,63,1063,खानपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,60,32,
milkipur,47,64,1064,गोकुला,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,70,60,55,80,36,
milkipur,47,65,1065,गढ़ा,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,50,45,43,60,30,
milkipur,47,66,1066,गोरवा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,50,45,43,60,30,
milkipur,47,67,1067,गयासुद्दीनपुर,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,60,50,47,70,35,
milkipur,47,68,1068,गनेशपुर,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,60,50,47,70,32,
milkipur,47,69,1069,गोइड़ी,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,60,32,
milkipur,47,70,1070,गड़ौली,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,47,71,1071,गौहनिया,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,47,72,1072,गहनाग,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,65,60,55,75,35,
milkipur,48,73,1073,गंगासराय,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,48,74,1074,गोठवारा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,48,75,1075,गुरौली फत्तेसिंह,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,65,60,55,75,34,
milkipur,48,76,1076,गद्दौपुर,,ग्रामीण,10000,11000,12000,38000,35000,33000,0,70,60,55,80,38,
milkipur,48,77,1077,गुजरामऊ,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,50,45,65,31,
