sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
rudauli,40,1,0001,अकबरगंज,,नगरीय,13000,16000,19000,50000,40000,30000,200,160,140,130,200,100,
rudauli,40,2,0002,अब्बासी,,नगरीय,13000,16000,19000,50000,40000,30000,200,160,140,130,200,100,
rudauli,40,3,1001,अजरका,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,4,1002,अख्तियारपुर,,अर्धनगरीय,10800,13200,16000,42000,35000,26000,154,121,110,99,154,77,
rudauli,40,5,1003,अल्हवाना,,अर्धनगरीय,10800,13200,16000,42000,35000,26000,154,121,110,99,154,77,
rudauli,40,6,1004,आदिलपुर,,ग्रामीण,7300,9000,11000,40000,33000,26000,154,66,55,44,77,39,
rudauli,40,7,1005,अहमदाबाद,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,8,1006,अमरौती,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,9,1007,आंसूमऊ,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,10,1008,अमराईगॉव,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,11,1009,अमहटा,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,12,1010,अहरौली,,ग्रामीण,2500,3500,4500,28000,22000,16000,154,40,35,30,45,25,
rudauli,40,13,1011,अशरफपुरगंगरेला,,विकासशील,6200,7000,8500,35000,28000,20000,154,66,55,44,77,39,
rudauli,40,14,1012,अमीरपुर,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,15,1013,अमौनी,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,16,1014,अशरफनगर,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,40,17,1015,ओहरामऊ सहजना,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,41,18,0003,ईदगाह,,नगरीय,13000,16000,19000,50000,40000,30000,200,160,140,130,200,100,
rudauli,41,19,1016,इचौलिया,,ग्रामीण,5700,6900,8000,33000,28000,20000,154,66,55,44,77,39,
rudauli,41,20,1017,उधरौरा,,ग्रामीण,2500,3500,4500,28000,22000,16000,154,40,35,30,45,25,
rudauli,41,21,1018,उमापुर,,विकासशील,7300,9000,11000,40000,33000,26000,154,66,55,44,77,39,
rudauli,41,22,1019,ऐहार,,विकासशील,7300,9000,11000,40000,33000,26000,154,77,65,55,88,50,
