sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,चौक,,40000,86800,83000,79000,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,मोतीबाग,,38500,84700,80900,76900,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,सुभाष नगर,,40000,86800,83000,79000,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,फतेहगंज,,37800,83700,79900,75900,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,दालमण्डी,,37000,82600,78800,74800,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,गणेशगंज मकबरा,,37000,82600,78800,74800,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,बेगमगंज मकबरा,,37000,82600,78800,74800,
sadar,67,1. चौक से इलाहाबाद रोड मकबरा होते हुए बाईपास तक,जनौरा,,37000,82600,78800,74800,
sadar,67,2. चौक से धारा रोड गुदड़ी बाजार चौराहे तक,राजा गली,,37000,82600,78800,74800,
sadar,67,3. गुदड़ी बाजार चौराहे से आगे धारा रोड,दिल्ली दरवाजा,,30800,74200,70400,66400,
sadar,67,3. गुदड़ी बाजार चौराहे से आगे धारा रोड,राठ हवेली,,30800,74200,70400,66400,
sadar,67,4. चौक से रिकाबगंज होते हुए सर्किट हाउस (लखनऊ रोड),चौक,,40000,86800,83000,79000,
sadar,67,4. चौक से रिकाबगंज होते हुए सर्किट हाउस (लखनऊ रोड),रिकाबगंज,,40000,86800,83000,79000,
sadar,67,4. चौक से रिकाबगंज होते हुए सर्किट हाउस (लखनऊ रोड),सिविल लाइन,,37000,82600,78800,74800,
sadar,67,5. सर्किट हाउस से लखनऊ रोड बाईपास पर सआदतगंज होते हुए तहसील सदर की सीमा तक,सिविल लाइन,,37000,82600,78800,74800,
sadar,67,5. सर्किट हाउस से लखनऊ रोड बाईपास पर सआदतगंज होते हुए तहसील सदर की सीमा तक,तोगपुर,,37000,82600,78800,74800,
sadar,67,5. सर्किट हाउस से लखनऊ रोड बाईपास पर सआदतगंज होते हुए तहसील सदर की सीमा तक,सहादतगंज,,33200,77400,73600,69600,
sadar,68,6. चौक से कोतवाली आई हास्पिटल साहबगंज होते हुए बेनीगंज चौराहे तक,चौक,,40000,86800,83000,79000,
sadar,68,6. चौक से कोतवाली आई हास्पिटल साहबगंज होते हुए बेनीगंज चौराहे तक,जमुनियाबाग,,38500,84700,80900,76900,
sadar,68,6. चौक से कोतवाली आई हास्पिटल साहबगंज होते हुए बेनीगंज चौराहे तक,रीडगंज,,30800,74200,70400,66400,
sadar,68,6. चौक से कोतवाली आई हास्पिटल साहबगंज होते हुए बेनीगंज चौराहे तक,हमदानी कोठी,,30800,74200,70400,66400,
sadar,68,6. चौक से कोतवाली आई हास्पिटल साहबगंज होते हुए बेनीगंज चौराहे तक,साहबगंज,,30800,74200,70400,66400,
sadar,68,6. चौक से कोतवाली आई हास्पिटल साहबगंज होते हुए बेनीगंज चौराहे तक,अमानीगंज,,30800,74200,70400,66400,
sadar,68,7. बेनीगंज चौराहे से श्रीराम हास्पिटल तक,अमानीगंज,,21800,62000,58200,54200,
sadar,68,7. बेनीगंज चौराहे से श्रीराम हास्पिटल तक,मांझा जमथरा,,21800,62000,58200,54200,
sadar,68,7. बेनीगंज चौराहे से श्रीराम हास्पिटल तक,रानोपाली (अ0न0पा0),,21800,62000,58200,54200,
sadar,68,8. श्रीराम हास्पिटल से नयाघाट चौराहा गोरखपुर रोड,मीरापुर डेराबीबी,,25600,67100,63300,59300,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,वशिष्ठ कुण्ड,,21800,62000,58200,54200,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,कटरा,,21800,62000,58200,54200,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,प्रहलाद घाट,,21800,62000,58200,54200,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,विभीषण कुण्ड,,21800,62000,58200,54200,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,मीरापुर बुलन्दी,,21800,62000,58200,54200,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,मातगैड़,,21800,62000,58200,54200,
sadar,68,9. टेढी बाजार चौराहे से वशिष्ठ कुण्ड कटरा पुलिस चौकी होते हुए अशर्फी भवन चौराहे तक,पांजीटोला,,21800,62000,58200,54200,
sadar,69,10. अशर्फी भवन चौराहे से स्मारक सदन पोस्ट आफिस तक,रामकोट,,16500,54700,50900,46900,
