sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar,083,1,,अकब बजाजा,चौक,नगरीय,27900,31400,37100,83700,79700,75600,,,,,,,
sadar,083,2,,अकब रिकाबगंज,रिकाबगंज,नगरीय,17400,25000,27000,83700,79700,75600,,,,,,,
sadar,083,3,,अंकवारा,हवेली अवध,अधिसूचित,3300,3500,4100,36300,32600,28500,84,70,65,62,84,39,
sadar,083,4,,अंकारीपुरटा.ए.अन्दर,अमसिन,अर्द्धनगरीय,7700,8500,9300,48200,44200,40100,235,194,172,169,235,107,
sadar,083,5,,अंकारीपुरटा.ए.बाहर,अमसिन,ग्रामीण,3800,4400,4700,35700,32200,28700,101,84,78,75,101,46,
sadar,083,6,,अंगूरीबाग,अंगूरीबाग,नगरीय,12900,15100,16300,54300,50300,46200,,,,,,,
sadar,083,7,,अचलपुर,अमसिन,ग्रामीण,1900,2100,2600,32900,29400,25900,53,43,38,36,53,24,
sadar,083,8,,अंजना,हवेली अवध,अधिसूचित,2300,2600,3300,35500,31800,27700,65,53,45,43,65,30,
sadar,083,9,,अंजनी पुरम आ0योजना(वि0प्रा0),देवकाली,नगरीय,26200,31400,34700,80500,76500,72400,,,,,,,
sadar,083,10,,अडगडा,अवध खास,नगरीय,8700,9600,10500,43300,39300,35200,,,,,,,
sadar,083,11,,अड़गड़ा,पुलिस लाइन,नगरीय,14900,17400,19200,58900,54900,50800,,,,,,,
sadar,083,12,,अब्बूसराय ANP,हवेली अवध,नगरीय,10800,11900,12300,48200,44200,40100,377,314,279,272,377,169,
sadar,083,13,,अब्बूसराय BNP,मगलसी,अर्द्धनगरीय,8100,8900,9800,45700,41700,37600,328,268,243,238,328,149,
sadar,083,14,,अमसिन,अमसिन,ग्रामीण,3400,3800,4500,35300,31800,28300,95,79,71,70,95,44,
sadar,083,15,,अमानीगंज,अमानीगंज,नगरीय,9000,11000,12000,51500,47500,43400,,,,,,,
sadar,083,16,,अमारी,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,083,17,,अमौनी,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,083,18,,अरवत,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,083,19,,अलनाभारी,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,083,20,,अलावलपुर,हवेली अवध,अधिसूचित,2600,2800,3400,35500,31800,27700,69,55,49,47,69,31,
