sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sohawal,30,भदरसा टाउन एरिया में निर्माणधीन स्वागत गेट सं मो0 अमीन के घर तक,टाउन एरिया भदरसा,1093,14500,42000,39000,36000,
sohawal,30,शराब ठेका से सिया मस्जिद होते हुए सब्जी मण्डी चौराहे तक,टाउन एरिया भदरसा,1093,14500,42000,39000,36000,
sohawal,30,सूद प्रट्रोल पम्प से कुंवर चन्द्रावती महाविद्यालय तक (फैजाबाद लखनऊ राजमार्ग पर),बनबीरपुर,1083,20000,53000,50000,47000,
sohawal,30,सूद प्रट्रोल पम्प से कुंवर चन्द्रावती महाविद्यालय तक (फैजाबाद लखनऊ राजमार्ग पर),हाजीपुर सिंहपुर,1154,21000,47000,43000,41000,
sohawal,30,सूद प्रट्रोल पम्प से कुंवर चन्द्रावती महाविद्यालय तक (फैजाबाद लखनऊ राजमार्ग पर),मुमताजनगर,1109,21500,47000,43000,41000,
sohawal,30,कुवंर चन्द्रावती महाविद्यालय से जुबेरगंज पशुबाजार तक (फैजाबाद लखनऊ राजमार्ग पर),घाटमपुर,1037,18000,47000,44000,41000,
sohawal,30,कुवंर चन्द्रावती महाविद्यालय से जुबेरगंज पशुबाजार तक (फैजाबाद लखनऊ राजमार्ग पर),कोटसराय,1017,17500,47000,45000,42000,
sohawal,30,कुवंर चन्द्रावती महाविद्यालय से जुबेरगंज पशुबाजार तक (फैजाबाद लखनऊ राजमार्ग पर),हरीपुर जलालाबाद,1155,18000,45000,42000,40000,
sohawal,30,कुवंर चन्द्रावती महाविद्यालय से जुबेरगंज पशुबाजार तक (फैजाबाद लखनऊ राजमार्ग पर),सलारपुर,1139,17000,44000,41000,38000,
sohawal,30,कुवंर चन्द्रावती महाविद्यालय से जुबेरगंज पशुबाजार तक (फैजाबाद लखनऊ राजमार्ग पर),चिर्रामोहम्मदपुर,1039,17000,50000,46000,43000,
sohawal,30,कुवंर चन्द्रावती महाविद्यालय से जुबेरगंज पशुबाजार तक (फैजाबाद लखनऊ राजमार्ग पर),जगनपुर,1042,16000,47000,44000,39000,
sohawal,30,मऊयदुवंशपुर मे तहसील फैजाबाद की सीमा से साखूपारा प्राथमिक विद्यालय तक(फैजाबाद रायबरेली रोड पर),मऊयदुवंशपुर,1100,21000,48000,42000,40000,segment cell starts at foot of p30 without text; assigned to segment 5 whose name is printed on p31
sohawal,31,मऊयदुवंशपुर मे तहसील फैजाबाद की सीमा से साखूपारा प्राथमिक विद्यालय तक(फैजाबाद रायबरेली रोड पर),कुरावा,1015,19000,34000,31000,28000,
sohawal,31,मऊयदुवंशपुर मे तहसील फैजाबाद की सीमा से साखूपारा प्राथमिक विद्यालय तक(फैजाबाद रायबरेली रोड पर),साखूपारा,1136,18000,42000,39000,36000,
