sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sohawal,32,1,1001,अबनपुर सरोहा,,ग्रामीण,6000,8000,9900,37800,34500,31300,139,84,76,69,86,47,
sohawal,32,2,1002,अरथर,,ग्रामीण,5500,8300,9200,35000,32000,29000,113,70,63,57,78,40,
sohawal,32,3,1003,अगेथुवा,,ग्रामीण,3500,4200,5000,29000,26000,23000,101,64,59,57,71,37,
sohawal,32,4,1004,अरूवांवा,,अर्द्धनगरीय,7900,9900,13500,38000,35000,32000,154,89,71,65,99,53,
sohawal,32,5,1005,अमौना,,अर्द्धनगरीय,6100,7800,9900,37600,34300,31000,144,83,73,66,95,50,
sohawal,32,6,1006,अन्तपुर,,अर्द्धनगरीय,5700,7100,7800,33000,32000,27000,84,50,43,39,57,29,
sohawal,32,7,1007,इब्राहिमपुर दिवली उपरहर,,अर्द्धनगरीय,5000,8100,9900,35000,32000,29000,138,76,66,60,91,47,
sohawal,32,8,1008,इब्राहिमपुर दिवली मांझा,,अर्द्धनगरीय,1500,1800,3000,28000,25000,22000,38,22,22,20,24,12,
sohawal,32,9,1009,इस्माइन नगर सिहोरा उपरहर,,ग्रामीण,3400,4200,5400,31000,28000,25000,69,46,39,36,49,27,
sohawal,32,10,1010,इस्माइन नगर सिहोरा मांझा,,ग्रामीण,1500,1800,3000,28000,25000,22000,36,22,22,20,24,12,
sohawal,32,11,1011,इब्राहिमपुर कन्दई,,ग्रामीण,3100,4300,4800,30000,27000,24000,79,47,40,38,50,26,
sohawal,32,12,1012,उसरू अमौना,,अर्द्धनगरीय,5900,7400,9900,37000,33500,30000,142,85,75,68,95,47,
sohawal,32,13,1013,उचित पुर,,ग्रामीण,3900,5200,6700,30000,27000,25000,87,52,44,43,56,31,
sohawal,33,14,1014,कन्दैला,,अर्द्धनगरीय,4400,5800,7200,33000,30000,27000,104,62,54,53,67,36,
sohawal,33,15,1015,कुरांवा,,अर्द्धनगरीय,5500,7000,8800,33000,30000,27000,123,74,64,57,79,40,
sohawal,33,16,1016,कादीपुर,,अर्द्धनगरीय,4800,6700,7900,33000,30000,27000,110,66,55,53,70,36,
sohawal,33,17,1017,कोटसराय,,अर्द्धनगरीय,8100,10900,17000,46000,43000,41000,132,95,80,71,104,54,
sohawal,33,18,1018,कोटडीह सरैया,,ग्रामीण,3200,4200,5400,30000,27000,24000,78,47,39,36,49,26,
sohawal,33,19,1019,कपासी,,ग्रामीण,3100,4000,5100,30000,27000,24000,73,45,37,36,47,27,
sohawal,33,20,1020,कलाफरपुर उपरहर,,ग्रामीण,3200,4200,4700,30000,27000,24000,78,47,38,36,49,26,
sohawal,33,21,1021,कलाफरपुर माझा,,ग्रामीण,1400,1700,2300,27000,24000,21000,34,21,21,19,23,12,
sohawal,33,22,1022,कटरौली,,ग्रामीण,6900,10500,13500,40000,37000,32000,140,80,71,66,91,48,
sohawal,33,23,1023,कैल,,ग्रामीण,4200,4400,5700,31000,28000,25000,110,67,55,50,73,38,
sohawal,33,24,1024,कोला,,ग्रामीण,5000,5300,6800,31000,28000,25000,128,77,64,57,86,45,
sohawal,33,25,1025,कल्याण भदरसा,,ग्रामीण,7800,10500,13500,37000,34000,31000,138,79,56,52,91,49,
sohawal,33,26,1026,करेरू,,ग्रामीण,4000,4400,5600,30000,27000,24000,78,46,39,36,49,26,
sohawal,33,27,1027,कुन्दुर्खाखुर्द,,ग्रामीण,7200,9500,12400,38000,35000,32000,134,77,68,63,85,45,
sohawal,33,28,1028,खिरौनी,,ग्रामीण,8500,12500,16000,46000,43000,39000,154,87,79,69,97,52,
sohawal,33,29,1029,खानपुर मसौधा,,अर्द्धनगरीय,9500,14000,19000,50000,46000,43000,201,127,100,92,132,66,
sohawal,33,30,1030,खरगपुर,,अर्द्धनगरीय,3800,4900,6000,31000,28000,25000,70,42,36,34,45,25,
sohawal,33,31,1031,गौहनियां सलोनी,,अर्द्धनगरीय,5000,6500,8200,33000,30000,27000,146,82,74,69,95,47,
sohawal,33,32,1032,गोपालपुर,,अर्द्धनगरीय,4800,6300,7900,33000,30000,27000,110,66,56,53,71,36,
sohawal,33,33,1033,गौरा ब्रहमनान,,ग्रामीण,3300,4300,5500,30000,27000,24000,77,46,38,36,49,27,
sohawal,33,34,1034,गौरा कुर्मियान,,ग्रामीण,3300,4300,5500,30000,27000,24000,77,46,38,36,49,27,
sohawal,33,35,1035,गोपीनाथपुर,,ग्रामीण,3500,4500,5700,30000,27000,24000,80,48,40,38,52,29,
sohawal,33,36,1036,गोडवा,,ग्रामीण,5100,7500,11400,37000,34000,31000,125,74,67,63,84,45,
sohawal,33,37,1037,घाटमपुर,,अर्द्धनगरीय,9200,15500,17500,46000,43000,40000,221,140,110,99,145,74,col7 first digit overlapped by signature (reads 17500)
sohawal,34,38,1038,चांदपुर कैल,,अर्द्धनगरीय,4500,5800,7200,32000,29000,26000,101,60,53,50,66,34,
sohawal,34,39,1039,चिर्रा मोहम्मद पुर,,अर्द्धनगरीय,7000,11500,16000,47000,44000,41000,145,85,75,69,96,50,
sohawal,34,40,1040,छतिरवा,,अर्द्धनगरीय,5500,9200,11000,37000,34000,31000,140,79,70,65,100,45,
sohawal,34,41,1041,जगदीश पुर,,अर्द्धनगरीय,4500,5800,7300,34000,30000,27000,105,63,54,50,68,34,
sohawal,34,42,1042,जगनपुर,,अर्द्धनगरीय,7500,12400,15500,45000,42000,37000,152,87,76,71,100,52,
sohawal,34,43,1043,टण्डवा,,ग्रामीण,3100,4100,5300,30000,27000,24000,75,46,38,34,49,27,
sohawal,34,44,1044,ठेवंगा,,ग्रामीण,3100,4100,5300,29000,26000,23000,75,45,38,34,48,27,
sohawal,34,45,1045,डेरामूसी,,ग्रामीण,2900,3800,5100,30000,27000,24000,72,43,37,34,47,26,
sohawal,34,46,1046,तहसीनपुर,,ग्रामीण,6400,8100,10900,36000,33000,30000,139,80,71,66,91,45,
sohawal,34,47,1047,ताजपुर कोडरा,,अर्द्धनगरीय,4300,5800,7300,33000,31000,28000,105,63,54,50,70,34,
sohawal,34,48,1048,थरेरू उपरहर,,ग्रामीण,2900,3700,4700,30000,27000,24000,68,41,35,34,45,26,
sohawal,34,49,1049,थरेरू मांझा,,ग्रामीण,1400,1700,2800,28000,25000,22000,34,21,21,19,23,12,
sohawal,34,50,1050,दक्षिण पारा,,ग्रामीण,2800,3600,4600,30000,27000,24000,68,41,35,34,45,27,
sohawal,34,51,1051,देवई,,ग्रामीण,5100,6400,8700,35000,32000,29000,117,68,60,56,78,38,
sohawal,34,52,1052,दिनकरपुर,,ग्रामीण,4000,6100,8200,35000,32000,29000,77,46,39,37,50,28,
sohawal,34,53,1053,दोस्तपुर रग्घू उपरहर,,ग्रामीण,2700,3500,4500,30000,27000,24000,67,40,35,34,43,24,
sohawal,34,54,1054,दोस्तपुर रग्घू मांझा,,ग्रामीण,1400,1700,2800,28000,25000,22000,34,21,22,19,23,12,col13 22 > col12 21 as printed (confirmed at 400dpi)
sohawal,34,55,1055,देवराकोट,,ग्रामीण,7000,9700,12400,39000,36000,33000,129,74,65,60,85,42,
sohawal,34,56,1056,दोस्तपुर,,ग्रामीण,3000,3900,5000,32000,29000,26000,72,43,37,36,46,24,
sohawal,34,57,1057,दसौली,,अर्द्धनगरीय,4100,5400,6700,33000,30000,27000,101,60,44,40,65,33,
sohawal,34,58,1058,दौलतपुर,,अर्द्धनगरीय,7200,9900,12800,40000,36600,33000,146,84,74,69,97,50,
sohawal,34,59,1059,धर्मदासपुर,,अर्द्धनगरीय,4500,5900,7400,32000,29000,26000,103,61,54,53,66,33,
sohawal,34,60,1060,धन्नीपुर,,ग्रामीण,4200,5200,7200,32000,28000,25000,94,54,47,44,61,34,
sohawal,34,61,1061,धारमलपुर,,ग्रामीण,2900,3900,5000,32000,28000,25000,69,41,36,35,44,24,
sohawal,34,62,1062,नजीबपुर,,अर्द्धनगरीय,5600,7000,9400,36000,33000,30000,112,69,59,55,74,37,
sohawal,35,63,1063,नैपुरा,,अर्द्धनगरीय,5600,7800,11500,40000,36600,33000,142,81,76,69,92,49,
sohawal,35,64,1064,नन्दीग्राम,,ग्रामीण,6300,8700,12500,40000,37000,33000,147,90,78,71,93,50,
sohawal,35,65,1065,निन्दूरा माझा,,ग्रामीण,1400,1700,2800,28000,25000,22000,34,21,21,19,23,12,
sohawal,35,66,1066,पिरखौली,,ग्रामीण,3600,4700,6000,31000,28000,25000,118,71,57,53,76,40,
sohawal,35,67,1067,परानापुर,,ग्रामीण,3300,4400,5600,30000,27000,24000,78,46,39,36,49,26,
sohawal,35,68,1068,पिलखावां,,ग्रामीण,7900,9900,12500,40000,37000,33000,139,79,71,63,89,47,
sohawal,35,69,1069,पलिया रिसाली,,ग्रामीण,6100,6400,8800,35000,32000,28000,140,85,76,66,95,50,
sohawal,35,70,1070,पिपरी,,ग्रामीण,6000,7500,10500,38000,34000,31000,142,80,72,66,91,49,
sohawal,35,71,1071,पारा कैल,,ग्रामीण,3600,6800,7600,31000,28000,25000,84,49,41,38,53,27,
sohawal,35,72,1072,पण्डित पुर,,ग्रामीण,3200,4200,5500,31000,28000,25000,76,45,39,38,48,25,
sohawal,35,73,1073,पिण्डावा,,ग्रामीण,3200,4200,5500,31000,28000,25000,76,45,39,38,48,25,
sohawal,35,74,1074,पोरा,,अर्द्धनगरीय,4300,5100,6700,31000,28000,25000,101,60,53,48,65,33,
sohawal,35,75,1075,पलिया गोवा,,अर्द्धनगरीय,6300,8700,13000,40000,36000,33000,123,78,62,57,78,40,
sohawal,35,76,1076,फतेहपुर सरैया उपरहर,,अर्द्धनगरीय,5500,7200,9000,35000,30000,27000,122,73,62,57,78,40,
sohawal,35,77,1077,फतेहपुर सरैया माझा,,अर्द्धनगरीय,1500,1800,3600,29000,26000,23000,35,22,22,20,24,13,
sohawal,35,78,1078,फिरोज पुर उपरहर,,अर्द्धनगरीय,5100,6600,8200,31000,28000,25000,141,80,73,71,90,45,
sohawal,35,79,1079,फिरोज पुर माझा,,अर्द्धनगरीय,1600,2000,3000,28000,25000,22000,44,22,22,20,24,13,
sohawal,35,80,1080,बरवा,,अर्द्धनगरीय,7500,9900,12500,38000,35000,32000,141,80,72,66,92,48,
sohawal,35,81,1081,बभनगवा,,अर्द्धनगरीय,4000,5200,6600,31000,28000,25000,94,56,49,48,60,31,
sohawal,35,82,1082,विछिया,,अर्द्धनगरीय,5400,6400,8800,32000,29000,26000,144,86,76,71,99,52,
sohawal,35,83,1083,बनबीरपुर,,अर्द्धनगरीय,9000,15000,19500,52000,48000,45000,202,128,113,101,147,71,
sohawal,35,84,1084,बन्दीदासपुर,,अर्द्धनगरीय,3900,5000,6300,30000,27000,24000,94,56,49,48,60,31,
sohawal,36,85,1085,बल्लीपुर,,अर्द्धनगरीय,3900,5000,6300,30000,27000,24000,94,56,49,48,60,31,
sohawal,36,86,1086,बरई कला,,ग्रामीण,4800,6000,8100,37000,34000,31000,105,64,58,57,74,36,
sohawal,36,87,1087,बैदरापुर,,ग्रामीण,2800,3700,4800,31000,28000,25000,69,41,36,35,44,24,
sohawal,36,88,1088,बीबीपुर,,ग्रामीण,3300,4400,5700,32000,29000,26000,76,45,39,38,48,25,
sohawal,36,89,1089,विनायकपुर,,ग्रामीण,3000,3900,5000,31000,28000,25000,72,43,37,36,46,24,
sohawal,36,90,1090,बभनियावां,,ग्रामीण,5100,5600,7000,34000,31000,28000,116,70,64,58,79,38,
sohawal,36,91,1091,विशुनपुर सारा,,ग्रामीण,3400,4400,5700,32000,29000,26000,79,46,40,39,50,26,
sohawal,36,92,1092,बुधौली,,ग्रामीण,3900,5100,6600,32000,29000,26000,86,51,44,43,54,28,
sohawal,36,93,1093,भदरसा टाउन अन्दर व समस्त मोहल्ले,,ग्रामीण,10600,13000,14000,40000,37000,34000,202,131,114,104,147,75,
sohawal,36,94,1094,भदरसा टाउन बाहर,,ग्रामीण,8850,10800,13800,39000,36000,33000,195,108,97,86,116,66,
sohawal,36,95,1095,भवनियापुर,,ग्रामीण,2800,4800,6000,32000,29000,26000,67,40,35,34,43,24,
sohawal,36,96,1096,भिटौरा,,ग्रामीण,3300,4400,5700,30000,27000,24000,76,45,39,38,48,25,
sohawal,36,97,1097,भिखारीपुर,,ग्रामीण,3100,4000,5200,30000,27000,24000,72,43,37,36,46,24,
sohawal,36,98,1098,भाईपुर,,अर्द्धनगरीय,4900,6500,8200,33000,30000,27000,143,83,73,68,95,50,
sohawal,36,99,1099,भीखनपुर,,अर्द्धनगरीय,4900,6500,8200,33000,30000,27000,115,64,59,55,74,37,
sohawal,36,100,1100,मउयदुवंशपुर,,अर्द्धनगरीय,9500,14000,20500,46000,40000,39000,221,138,116,105,147,73,
sohawal,36,101,1101,मैनुददीनपुर,,अर्द्धनगरीय,8800,13300,18800,46000,41000,39000,162,96,82,71,106,56,
sohawal,36,102,1102,माधवपुर,,अर्द्धनगरीय,8100,12300,18000,45000,41000,38000,150,87,76,69,97,51,
sohawal,36,103,1103,महावा,,अर्द्धनगरीय,7400,10200,13000,38000,35000,32000,150,87,76,69,97,51,
sohawal,36,104,1104,मिर्जापुर निमौली,,अर्द्धनगरीय,4900,6500,8200,33000,30000,27000,115,69,59,55,74,37,
sohawal,36,105,1105,मोहीउददीनपुर,,अर्द्धनगरीय,5300,7300,11000,37000,34000,31000,107,63,54,50,68,34,
sohawal,36,106,1106,मोकलपुर,,अर्द्धनगरीय,4500,5900,7400,31000,28000,25000,131,74,67,66,83,42,
sohawal,36,107,1107,मानापुर,,अर्द्धनगरीय,4200,5400,6700,30600,27500,24300,95,57,49,48,61,33,
sohawal,37,108,1108,माझाकला,,अर्द्धनगरीय,5800,6600,8200,35000,32000,28000,47,30,27,24,32,18,
sohawal,37,109,1109,मुमताजनगर,,अर्द्धनगरीय,10500,16000,21000,45000,40000,38000,232,140,117,105,150,73,
sohawal,37,110,1110,मुस्ताफाबाद,,ग्रामीण,7400,10300,12400,37000,34000,31000,141,82,74,66,92,49,
sohawal,37,111,1111,महोली उपरहर,,ग्रामीण,3200,4100,5500,32000,29000,26000,75,44,37,35,47,27,
