sro,sro_name,page,segment_no,segment_hi,village_hi,vcode,land_rate,shop_single_land,shop_multi,office,extra,flag
sadar1,Sadar-1,56,1,धर्मशाला चौराहा से जटाशंकर चौक व होटल गंगेज चौराहा होते हुए दुर्गाबाडी चौराहा तक,नियामत चक,0097,34000,,,,,
sadar1,Sadar-1,56,1,धर्मशाला चौराहा से जटाशंकर चौक व होटल गंगेज चौराहा होते हुए दुर्गाबाडी चौराहा तक,रूद्रपुर,0065,34000,,,,,
sadar1,Sadar-1,56,1,धर्मशाला चौराहा से जटाशंकर चौक व होटल गंगेज चौराहा होते हुए दुर्गाबाडी चौराहा तक,हुमायूपुर दक्षिणी,0084,34000,,,,,
sadar1,Sadar-1,56,1(ए),होटल गंगेज चौराहा से अलीनगर चौराहा तक,नियामत चक,0097,34000,,,,,
sadar1,Sadar-1,56,1(ए),होटल गंगेज चौराहा से अलीनगर चौराहा तक,रूद्रपुर,0065,34000,,,,,
sadar1,Sadar-1,56,1(ए),होटल गंगेज चौराहा से अलीनगर चौराहा तक,हुमायूपुर दक्षिणी,0084,34000,,,,,
sadar1,Sadar-1,56,2,दुर्गाबाडी चौराहा के बाद से सरस्वती शिशु मंदिर होते हुए सूरजकुण्ड रेलवें क्रासिंग मार्ग तक,अधियारी बाग,0058,34000,,,,,
sadar1,Sadar-1,56,2,दुर्गाबाडी चौराहा के बाद से सरस्वती शिशु मंदिर होते हुए सूरजकुण्ड रेलवें क्रासिंग मार्ग तक,काजीपुर कला,0075,34000,,,,,
sadar1,Sadar-1,56,2,दुर्गाबाडी चौराहा के बाद से सरस्वती शिशु मंदिर होते हुए सूरजकुण्ड रेलवें क्रासिंग मार्ग तक,तिवारीपुर,0063,34000,,,,,
sadar1,Sadar-1,56,2,दुर्गाबाडी चौराहा के बाद से सरस्वती शिशु मंदिर होते हुए सूरजकुण्ड रेलवें क्रासिंग मार्ग तक,रमदत्तपुर,0074,34000,,,,,
sadar1,Sadar-1,56,3,चरन लाल चौराहे के बाद से जाफरा बाजार चौराहे तक,अलीनगर उत्तरी,0082,32000,,,,,
sadar1,Sadar-1,56,3,चरन लाल चौराहे के बाद से जाफरा बाजार चौराहे तक,जाफरा बाजार,0088,32000,,,,,
sadar1,Sadar-1,56,3,चरन लाल चौराहे के बाद से जाफरा बाजार चौराहे तक,दीवान बाजार,0064,32000,,,,,
sadar1,Sadar-1,56,3,चरन लाल चौराहे के बाद से जाफरा बाजार चौराहे तक,रूद्रपुर,0065,32000,,,,,
sadar1,Sadar-1,57,4,अलीनगर चौराहे के बाद से चरन लाल चौराहे तक,अलीनगर,0082,38000,,,,,
sadar1,Sadar-1,57,4,अलीनगर चौराहे के बाद से चरन लाल चौराहे तक,अलीनगर उत्तरी,0082,38000,,,,,
sadar1,Sadar-1,57,4,अलीनगर चौराहे के बाद से चरन लाल चौराहे तक,दीवान बाजार,0064,38000,,,,,
sadar1,Sadar-1,57,4,अलीनगर चौराहे के बाद से चरन लाल चौराहे तक,हजारीपुर,0103,38000,,,,,
sadar1,Sadar-1,57,5,अलीनगर चौराहे के बाद से हजारीपुर चौराहा होते हुए जटाशंकर चौक तक,अलीनगर उत्तरी,0082,38000,,,,,
sadar1,Sadar-1,57,5,अलीनगर चौराहे के बाद से हजारीपुर चौराहा होते हुए जटाशंकर चौक तक,अलीनगर दक्षिणी,0082,38000,,,,,
sadar1,Sadar-1,57,5,अलीनगर चौराहे के बाद से हजारीपुर चौराहा होते हुए जटाशंकर चौक तक,नियामत चक,0097,38000,,,,,
sadar1,Sadar-1,57,5,अलीनगर चौराहे के बाद से हजारीपुर चौराहा होते हुए जटाशंकर चौक तक,हजारीपुर,0103,38000,,,,,
sadar1,Sadar-1,57,6,चरण लाल चौराहे के बाद सेदुर्गाबाडी चौराहा तक,अलीनगर उत्तरी,0082,37000,,,,,
sadar1,Sadar-1,57,6,चरण लाल चौराहे के बाद सेदुर्गाबाडी चौराहा तक,रूद्रपुर,0065,37000,,,,,
sadar1,Sadar-1,57,6,चरण लाल चौराहे के बाद सेदुर्गाबाडी चौराहा तक,हुमायूपुर दक्षिणी,0084,37000,,,,,
sadar1,Sadar-1,57,7,मस्जिद तिरोह से चौरहिया गोला होते हुए साहबगंज चौराहे तक,इस्लामचक,0090,38000,,,,,
sadar1,Sadar-1,57,7,मस्जिद तिरोह से चौरहिया गोला होते हुए साहबगंज चौराहे तक,खूनीपुर,0043,38000,,,,,
sadar1,Sadar-1,57,7,मस्जिद तिरोह से चौरहिया गोला होते हुए साहबगंज चौराहे तक,नसीराबाद,0048,38000,,,,,
sadar1,Sadar-1,57,8,साहबगंज चौराहे के बाद से खूनीपुर चौराहे तक,इस्लामचक,0090,38000,,,,,
sadar1,Sadar-1,57,8,साहबगंज चौराहे के बाद से खूनीपुर चौराहे तक,खूनीपुर,0043,38000,,,,,
sadar1,Sadar-1,57,8,साहबगंज चौराहे के बाद से खूनीपुर चौराहे तक,नसीराबाद,0048,38000,,,,,
sadar1,Sadar-1,57,9,असुरन चौराहा के बाद से एच0एन0 सिंह चौराहा तक,बशारतपुर,0091,38000,,,,,
sadar1,Sadar-1,57,9,असुरन चौराहा के बाद से एच0एन0 सिंह चौराहा तक,भेडियागढ,0050,38000,,,,,
sadar1,Sadar-1,57,9,असुरन चौराहा के बाद से एच0एन0 सिंह चौराहा तक,शाहपुर,0068,38000,,,,,
sadar1,Sadar-1,58,10,एच0एन0 सिंह चौराहे के बाद से राप्तीनगर फेज–4 चौराहा तक,चरगॉवा (खजांची चौक),0001,42000,,,,,
sadar1,Sadar-1,58,10,एच0एन0 सिंह चौराहे के बाद से राप्तीनगर फेज–4 चौराहा तक,बशारतपुर (खजांची चौक),0091,42000,,,,,
sadar1,Sadar-1,58,10,एच0एन0 सिंह चौराहे के बाद से राप्तीनगर फेज–4 चौराहा तक,राप्तीनगर (खजांची चौक),0016,42000,,,,,
sadar1,Sadar-1,58,10,एच0एन0 सिंह चौराहे के बाद से राप्तीनगर फेज–4 चौराहा तक,हरसेवकपुर (खजांची चौक),0093,42000,,,,,
sadar1,Sadar-1,58,11,राप्तीनगर फेज–4 चौराहा के बाद से झुगिया बाजार नगर निगम सीमा तक,झुगिया,0002,38000,,,,,
sadar1,Sadar-1,58,11,राप्तीनगर फेज–4 चौराहा के बाद से झुगिया बाजार नगर निगम सीमा तक,फतेहपुर,0003,38000,,,,,
