sro,kind,page,serial,vcode,name,columns,values,flag
sadar1,tree,151,1,,साखू,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,4500|9000|20000,
sadar1,tree,151,2,,शीशम,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,4000|8000|18000,
sadar1,tree,151,3,,सागौन,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,4500|9000|25000,
sadar1,tree,151,4,,असना/तुन,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
sadar1,tree,151,5,,जामुन/आम/महुआ/बहेरा/विजयसाल,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
sadar1,tree,151,6,,सान्नर आदि,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
sadar1,tree,151,7,,कोकाठ,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
sadar1,tree,151,8,,यूकेलिप्टस,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
sadar1,tree,151,9,,खैर,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
sadar1,tree,151,10,,अन्य फलदार बृक्ष,1 वर्ष से अधिक तथा 5 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|5 वर्ष से अधिक तथा 10 वर्ष से कम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष|10 वर्ष से अधिकतम आयु के बृक्ष का न्यूनतम मूल्य प्रति बृक्ष,3500|7000|12000,
