sro,table,serial_or_segment,vcode,village_hi,note
sadar1,p2+p4,37,194,कायमखेड़ा,"9-12m 22500 > 12-18m 17000; verified at 350dpi, clearly printed"
sadar1,p2+p4,52,90,गढ़िया रसूल खान,stray tick mark before 9-12m value
sadar1,p2+p4,92,134,फौजी कालोनी,"ward no printed as ""14"" (no leading zero)"
sadar1,p2+p4,93,117,बरहा कालोनी,"12-18m equals >18m (13000); verified at 350dpi, clearly printed"
sadar1,p2+p4,150,119,सुजानपुरा,ward no 012 printed with ward name बाबू बनारसी दास (as in P1)
sadar1,p3,34,0141,माल एवेन्यू,"vcode printed with stray backtick ""`0141"""
sadar2,p2+p4,7,1139,अल्लूनगर डिगुरिया (सहारा सिटी होम्स),p4: name cut off in print
sadar2,p2+p4,8,1098,अल्लूनगरडिगुरिया,p4: >18m lower than 12-18m but clearly printed
sadar2,p2+p4,20,1127,उत्तरधौना (बी0बी0डी0 ग्रीन सिटी),p4: name cut off in print
sadar2,p2+p4,21,1128,उत्तरधौना (पार्श्वनाथ सिटी/रॉयल फलोर),p4: name cut off in print
sadar2,p2+p4,22,1201,उत्तरधौना (मानस गार्डेन एवं बिहार),p4: name cut off in print
sadar2,p2+p4,28,0289,कैण्ट रोड (उत्तरी भाग),p4: closing bracket not printed
sadar2,p2+p4,38,0400,गौतम बुद्व मार्ग,"p4: same name printed for 0400, 0276, 0398"
sadar2,p2+p4,39,0276,गौतम बुद्व मार्ग,"p4: same name printed for 0400, 0276, 0398"
sadar2,p2+p4,44,1129,गणेशपुर रहमानपुर (रघुनन्दन आशियाना),p4: name cut off in print
sadar2,p2+p4,45,1202,गनेशपुर रहमानपुर (दयाल रेजीडेन्सी),p4: name cut off in print
sadar2,p2+p4,47,0419,गोमती नगर विस्तार/गोमती ग्रीन्स,p4: name may be cut off in print
sadar2,p2+p4,50,0398,गौतम बुद्व मार्ग,"p4: same name printed for 0400, 0276, 0398"
sadar2,p2+p4,72,1132,ऋषि उद्यान (जुग्गौर),"<9 m 10000 higher than 9-12 m 9000; verified on scan, clearly printed (source inconsistency)"
sadar2,p2+p4,79,0287,डा.श्याम प्रसाद मुखर्जी रोड (नजीराबाद रोड),p4: name cut off in print
sadar2,p2+p4,85,1206,तेराखास (माधवपुरम/माधवग्रीन्स योजना),p4: name cut off in print
sadar2,p2+p4,90,0392,त्रिपाठीनगर (खुर्शेद बाग),covered 22000/24000 lower than other urban wards but clearly printed
sadar2,p2+p4,91,1107,थावर,premium 26500 breaks rural pattern (22000/24000) but clearly printed
sadar2,p2+p4,96,1086,धावाँ,p4: godown 28000 (peers 28500) clearly printed
sadar2,p2+p4,115,1204,नौबस्ताकला (पिताम्बरा बिहार कालोनी),p4: name cut off in print
sadar2,p2+p4,118,0220,निशातगंज,covered_ordinary 3000 clearly printed (likely typo for 30000); premium 32500
sadar2,p2+p4,130,0338,फैजाबाद रोड पूर्वी (चिनहट तक),p4: name cut off in print; >18m jump 66000 clearly printed
sadar2,p2+p4,132,0223,फैजाबाद रोड,p4: 12-18m jump 66000 clearly printed
