page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
51,1,लखनऊ रायबरेली रोड़,अतरौली,,27000,30000,29000,28000,agri_lakh_per_ha=160,
51,2,लखनऊ रायबरेली रोड़,उदयपुर,,25000,28000,27000,26000,agri_lakh_per_ha=160,
51,3,लखनऊ रायबरेली रोड़,कनकहॉ,,27000,30000,29000,28000,agri_lakh_per_ha=160,
51,4,लखनऊ रायबरेली रोड़,गौरा,,30000,34000,33000,32000,agri_lakh_per_ha=165,
51,5,लखनऊ रायबरेली रोड़,टिकरा,,25000,28000,27000,26000,agri_lakh_per_ha=160,
51,6,लखनऊ रायबरेली रोड़,दखिनाशेखपुर,,18000,23000,22000,21000,agri_lakh_per_ha=160,
51,7,लखनऊ रायबरेली रोड़,निगोहॉ,,25000,28000,27000,26000,agri_lakh_per_ha=160,
51,8,लखनऊ रायबरेली रोड़,पुरसेनी,,35000,40000,38000,36000,agri_lakh_per_ha=170,
51,9,लखनऊ रायबरेली रोड़,बेन्दौवा,,30000,34000,33000,32000,agri_lakh_per_ha=165,
51,10,लखनऊ रायबरेली रोड़,बैरीशालपुर,,20000,23000,22000,21000,agri_lakh_per_ha=155,
51,11,लखनऊ रायबरेली रोड़,भावाखेडा,,25000,28000,27000,26000,agri_lakh_per_ha=160,
51,12,लखनऊ रायबरेली रोड़,भगवानपुर,,20000,23000,22000,21000,agri_lakh_per_ha=160,
51,13,लखनऊ रायबरेली रोड़,मऊ,,30000,34000,33000,32000,agri_lakh_per_ha=165,
52,14,लखनऊ रायबरेली रोड़,मदापुर,,27000,30000,29000,28000,agri_lakh_per_ha=160,
52,15,लखनऊ रायबरेली रोड़,मस्तीपुर,,25000,28000,27000,26000,agri_lakh_per_ha=160,
52,16,लखनऊ रायबरेली रोड़,लालपुर,,18000,23000,22000,21000,agri_lakh_per_ha=155,
52,17,लखनऊ रायबरेली रोड़,शेरपुर लवल,,20000,23000,22000,21000,agri_lakh_per_ha=160,
52,18,लखनऊ रायबरेली रोड़,सिर्स,,25000,28000,27000,26000,agri_lakh_per_ha=160,
52,19,लखनऊ रायबरेली रोड़,हरिकॅंशगढी,,35000,40000,38000,36000,agri_lakh_per_ha=170,
52,20,लखनऊ सुल्तानपुर रोड़,अमेठी,,30000,34000,33000,32000,agri_lakh_per_ha=160,
