sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
mohanlalganj,34,60,1,,अतरौली,101 मोहनलाल गंज,,7000,7500,8000,8500,20000,22000,28000,26000,25000,,51,44,,51,37,
mohanlalganj,34,60,2,,अकबरपुर बेनीगंज,102 निगोहाँ,,3500,3700,3900,4100,19000,21000,23000,22000,21500,,29,26,,29,21,
mohanlalganj,34,60,3,,अकरहदू,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,60,4,,अमरावती आई टी सिटी,101 मोहनलालगंज,,25000,30000,33000,35000,26000,28000,40000,38000,36000,,,,,,,
mohanlalganj,34,60,5,,अनैया खरगापुर,101 मोहनलाल गंज,,4000,4400,4800,5000,19000,21000,23000,22000,21500,,32,28,,32,23,
mohanlalganj,34,60,6,,आदमपुर नौबस्ता,101 मोहनलाल गंज,,4000,4400,4800,5000,19000,21000,23000,22000,21500,,32,28,,32,23,
mohanlalganj,34,60,7,,अस्ती,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,60,8,,असलम नगर,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,60,9,,अहमदपुर खालसा,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,61,10,,अहमदपुर आजम अली,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,61,11,,अहमदपुर अहसान अली,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,61,12,,अब्बास नगर,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,34,61,13,,अघइया,102 निगोहाँ,,3000,3200,3400,3600,19000,21000,23000,22000,21500,,26,22,,26,18,
mohanlalganj,34,61,14,,अलियामऊ,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,35,61,15,,अमिलिहा खेडा,102 निगोहाँ,,3500,3700,3900,4100,19000,21000,23000,22000,21500,,29,26,,29,21,
mohanlalganj,35,61,16,,अचली खेड़ा,101 मोहनलाल गंज,,4000,4400,4800,5000,19000,21000,23000,22000,21500,,32,28,,32,23,
mohanlalganj,35,61,17,,अमेठी,101 मोहनलाल गंज,,6000,6500,7000,7500,20000,22000,32000,29000,25000,,46,40,,46,33,
mohanlalganj,35,61,18,,अमवा मुर्तजापुर,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,35,62,19,,इस्माइल नगर,101 मोहनलाल गंज,,3200,3400,3600,3800,19000,21000,23000,22000,21500,,27,24,,27,20,
mohanlalganj,35,62,20,,इन्द्रजीत खेड़ा,101 मोहनलाल गंज,,7000,7500,8000,8500,20000,22000,28000,26000,25000,,51,44,,51,37,
