page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
80,1,फैजाबाद रोड तक चिनहट ग्राम की सीमा से लखनऊ जनपद की सीमा तक,अनौरा,1103,35000,58000,44000,40000,agri_lakh_per_ha=360,
80,2,सीतापुर रोड से तक आई0आई0एम0 रोड हरदोई रोड को मिलाने वाली रिंग रोड/बाईपास तक,अल्लूनगर डिगुरिया,1098,45000,46000,44000,42000,agri_lakh_per_ha=250,
80,3,लाटूश रोड / गौतम बुद्ध मार्ग कैसर बाग चौराहे से चारबाग तक,अमीनाबाद/विजय नगर,0348,72000,128000,102000,79000,,
81,4,श्री राम रोड़ (अमीनाबाद चौराहे रोड़ से लाटूश रोड़ तक),अमीनाबाद,0348,85000,128000,102000,79000,,
81,5,गुईन रोड/मिश्र बन्धु (प्रकाश कुल्फी चौराहे से गोलागंज चौराहे तक),अमीनाबाद,0348,60000,91000,72000,55000,,
81,6,अमीनाबाद रोड तक प्रकाश कुल्फी चौराहे से गोलागंज चौराहे तक,अमीनाबाद,0348,85000,123000,97000,73000,,
82,7,लोहिया पथ कालीदास मार्ग चौराहे से गोमती बैराज फन माल लोहिया पार्क होते हुए अयोध्या रोड पर पाली टेक्निक चौराहे तक,उजारियाँव,0302,75000,123000,97000,73000,,
82,8,फैजाबाद रोड (चिनहट ग्राम की सीमा से लखनऊ जनपद की सीमा तक),उत्तरधौना,1083,35000,58000,44000,40000,agri_lakh_per_ha=360,
82,9,हरदोई सीतापुर बाईपास से जेहटा माल रोड,कांकराबाद,1053,11000,38500,36000,33000,agri_lakh_per_ha=185,
82,10,बी. एन. रोड़ (कैसर बाग चौराहे से रायल होटल चौराहे तक),कन्धारी बाजार,0290,60000,107000,83500,64000,,
83,11,डा0 सूजा रोड़,कन्धारी बाजार,0290,60000,107000,83500,64000,,
83,12,"नवल किशोर रोड़ (हलवासिया रोड़ , बी.एन. रोड़ से मफेयर तिराहे तक)",कन्धारी बाजार,0290,85000,123000,97000,73000,,
83,13,लाटूश रोड / गौतम बुद्ध मार्ग कैसर बाग चौराहे से चारबाग तक,कैसरबाग,0274,72000,128000,102000,79000,,
83,14,"खरगापुर रेलवे क्रासिंग से एस0टी0पी0 चौराहे से होते हुए चन्दियामऊ, लोनापुर, ऐमिटी तक",खरगापुर,1090,16000,46000,40000,35000,agri_lakh_per_ha=261,
