sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar2,39,118,1,1103,अनौरा,ward 111 लखनऊ,अर्द्धनगरीय,9000,10000,11000,12000,26000,28500,35000,30500,28500,,221,198,,221,158,
sadar2,39,118,2,0410,आर्य समाज मन्दिर रोड,ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27000,28500,31000,29000,31500,70500,55000,44000,,,,,,,
sadar2,39,118,3,0273,आर0के0टण्डन रोड,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,20000,22000,22500,24500,29000,31500,77000,61500,47500,,,,,,,
sadar2,39,118,4,0397,अहाता शेर खान,ward 041 बशीरतगंज,नगरीय क्षेत्र,13000,14000,15000,17000,29000,31500,41500,36000,32000,,,,,,,
sadar2,39,118,5,1080,अहमदपुर,ward 111 लखनऊ,अर्द्धनगरीय,2500,2800,3100,3500,24000,26500,23000,22000,20500,,84,77,,84,61,
sadar2,39,119,6,1057,अलीनगर,ward 111 लखनऊ,नगरीय क्षेत्र,3800,4000,4400,4800,24000,26500,23000,22000,20500,,110,98,,110,80,
sadar2,39,119,7,1139,अल्लूनगर डिगुरिया (सहारा सिटी होम्स),ward 111 लखनऊ,नगरीय क्षेत्र,20000,22000,22500,24500,25000,27500,77000,61500,47500,,,,,,,p4: name cut off in print
sadar2,39,119,8,1098,अल्लूनगरडिगुरिया,ward 111 लखनऊ,नगरीय क्षेत्र,8500,9400,10500,9700,25000,27500,35000,30500,28500,,221,198,,221,158,p4: >18m lower than 12-18m but clearly printed
sadar2,40,119,9,1119,अल्लूपुर,ward 111 लखनऊ,ग्रामीण,2500,2800,3100,3500,22000,24000,23000,22000,20500,,84,77,,84,61,
sadar2,40,119,10,0244,अशोक गार्डेन,ward 028 चिनहट,नगरीय क्षेत्र,15000,16500,17000,18500,30000,32500,41500,36000,32000,,,,,,,
sadar2,40,120,11,0423,अशोक विहार,ward 028 चिनहट,नगरीय क्षेत्र,15000,16500,17000,18500,30000,32500,41500,36000,32000,,,,,,,
sadar2,40,120,12,0257,अशोक मार्ग,ward 029 राजा राम मोहन राय,नगरीय क्षेत्र,33500,36000,38000,41000,30000,32500,77000,61500,47500,,,,,,,
sadar2,40,120,13,0387,अमीनाबाद रोड,ward 041 बशीरतगंज,नगरीय क्षेत्र,50000,54000,57000,63000,30000,32500,104500,85000,66000,,,,,,,
sadar2,40,120,14,0350,अमीनाबाद पार्क,ward 036 अमीनाबाद,नगरीय क्षेत्र,33500,36000,38000,41000,30000,32500,104500,85000,66000,,,,,,,
sadar2,40,120,15,0348,अमीनाबाद,ward 036 अमीनाबाद,नगरीय क्षेत्र,33500,36000,38000,41000,30000,32500,104500,85000,66000,,,,,,,
sadar2,40,121,16,0349,अमीनुरूद्दौला पार्क,ward 036 अमीनाबाद,नगरीय क्षेत्र,33500,36000,38000,41000,30000,32500,104500,85000,66000,,,,,,,
sadar2,41,121,17,0347,अमानीगंज,ward 036 अमीनाबाद,नगरीय क्षेत्र,16500,18000,18500,20000,30000,32500,70500,55000,44000,,,,,,,
sadar2,41,121,18,0302,उजारियाँव,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,15000,16500,17000,18500,30000,32500,48500,38500,33000,,,,,,,
sadar2,41,121,19,1083,उत्तरधौना,ward 111 लखनऊ,नगरीय क्षेत्र,9000,10000,11000,12000,26000,28500,35000,30500,28500,,221,198,,221,158,
sadar2,41,121,20,1127,उत्तरधौना (बी0बी0डी0 ग्रीन सिटी),ward 111 लखनऊ,नगरीय क्षेत्र,20000,22000,22500,24500,23500,26000,77000,61500,47500,,,,,,,p4: name cut off in print
sadar2,41,122,21,1128,उत्तरधौना (पार्श्वनाथ सिटी/रॉयल फलोर),ward 111 लखनऊ,नगरीय क्षेत्र,20000,22000,22500,24500,23500,26000,77000,61500,47500,,,,,,,p4: name cut off in print
sadar2,41,122,22,1201,उत्तरधौना (मानस गार्डेन एवं बिहार),ward 111 लखनऊ,नगरीय क्षेत्र,10000,10000,11000,12000,23500,26000,77000,61500,47500,,,,,,,p4: name cut off in print
sadar2,42,122,23,0376,एच.ए.एल.कालोनी,ward 038 गोमतीनगर,नगरीय क्षेत्र,20000,22000,22000,24000,27500,32500,53000,41500,35000,,,,,,,
sadar2,42,122,24,0312,एल्डिको ग्रीन,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,43000,47000,48500,54000,30000,32500,87000,69000,55000,,,,,,,
sadar2,42,122,25,1050,ककौली,ward 111 लखनऊ,नगरीय क्षेत्र,5000,5500,6000,6600,25000,27500,30500,26500,25000,,177,160,,177,127,
sadar2,42,123,26,1053,कांकराबाद,ward 111 लखनऊ,अर्द्धनगरीय,6500,7000,7500,8300,24000,26500,23000,22000,20500,,110,98,,110,80,
sadar2,42,123,27,0290,कन्धारी बाजार,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,55000,44000,35000,,,,,,,
sadar2,43,123,28,0289,कैण्ट रोड (उत्तरी भाग),ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,16500,18000,18000,20000,30000,32500,55000,44000,35000,,,,,,,p4: closing bracket not printed
sadar2,43,123,29,0274,कैसरबाग,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,25000,27500,28000,31000,30000,32500,70500,55000,44000,,,,,,,
sadar2,43,123,30,0416,कैलाशकुंज,ward 038 गोमतीनगर,नगरीय क्षेत्र,20000,22000,22000,24000,30000,32500,70500,55000,44000,,,,,,,
sadar2,43,124,31,1066,कुसमौरा,ward 111 लखनऊ,ग्रामीण,2500,2800,3100,3500,22000,24000,23000,22000,20500,,84,77,,84,61,
