page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
47,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,55000,80000,75000,70000,,
47,2,शहीद पथ से एम्मार की ओर जाने वाली सडक औरेन्जे होते हुए ओमैक्स हजरतगंज तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,52000,80000,75000,70000,,
47,3,पी0एच0क्यू0 गेट नं0 3 के सामने की सडक एम0आर0एम0जी0एफ0 ओमेक्स आर 1 होते हुए ओमेक्स हजरतगंज व ओमेक्स आर 2 मिनी ओमेक्स हजरतगंज होते हुए सडक की अन्तिम सीमा तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,52000,80000,75000,70000,,
48,4,पलेशियो माल/इकाना के मध्य की सडक की अन्तिम सीमा तक व पलेशियो पुलिस चौकी /मरक्यूर होटल के मध्य की सडक गोल चौराहे तक तथा इन दोनों सडकों को जोडने वाली सडक के दोनो ओर स्थित राजस्व ग्राम/मोहल्ला,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,52000,75000,70000,65000,,
48,5,सुल्तानपुर रोड पर सरसवां/अर्जुनगंज से नगर निगम सीमा तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,55000,65000,60000,55000,agri_lakh_per_ha=270,
48,6,बेस्ट प्राइस से प्रारम्भ होकर कर्म्फट होटल व अटल चौराहा होते हुए विन्टस से सुल्तानपुर रोड की ओर सडक की अन्तिम सीमा तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,50000,80000,75000,70000,,
49,7,सुशान्त गोल्फ सिटी में अटल चौक से फव्वारा चौराहे तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,50000,80000,75000,70000,,
49,8,लूलू मॉल के पीछे वाली सडक प्लेटिनम व स्काई लाइन प्लाजा जाने वाली सडक आनन्द रिसॉट होते हुए सडक के अन्त तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,50000,80000,75000,70000,,
49,9,शहीद पथ से सुशान्त गोल्फ सिटी की ओर मिगसन के बायीं ओर सीधे जाने वाली सडक फव्वारा चौराहे तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,50000,80000,75000,70000,,
49,10,"मेदान्ता हास्पिटल से लगी हुई मिगसन के बायीं ओर वाली सड़क की अंतिम सीमा के तिराहे से कीनेसकीलम स्कूल व मेदान्ता गेट नं0 5,6 होते हुए गेट नं 2 से होकर शहीद पथ तक",उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,50000,80000,75000,70000,,
50,11,शहीद पथ से लगी हुई लूलू मॉल व मेदान्ता हास्पिटल को जोड़ने वाली सडक अवध शिल्पग्राम चौराहे तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,52000,80000,75000,70000,,
50,12,अवध शिल्प ग्राम चौराहे से अवध विहार की ओर जाने वाली सडक की अन्तिम सीमा तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,40000,55000,50000,45000,,
