sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar,33,54,1,,अम्बेडकर नगर,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,33000,30000,,,,,,,
sarojininagar,33,54,2,,अहमदपुर उर्फ कमलापुर,101 बिजनौर,,6000,6500,7500,8000,24000,26000,30000,28000,27000,,155,145,,155,110,
sarojininagar,33,54,3,,अवध नगर,002 खरिका,,7500,8500,9000,10000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,33,54,4,,अवध विहार योजना,001 इब्राहिमपुर,,25000,28000,31000,34000,30000,34000,49000,38000,35000,,,,,,,
sarojininagar,33,54,5,,अशरफ नगर,101 शारदा नगर,,4500,5000,5500,6000,24000,26000,30000,28000,27000,,105,95,,105,75,pargana code 101/name mismatch as printed
sarojininagar,33,54,6,,अली नगर खुर्द,101 बिजनौर,,4500,5000,5500,6000,24000,26000,30000,28000,27000,,105,95,,105,75,
sarojininagar,33,54,7,,अहमामऊ,111 लखनऊ,,12000,13000,14000,15000,26000,28000,38000,35000,30000,,215,200,,215,155,
sarojininagar,33,54,8,,अरदौनामऊ,111 लखनऊ,,12000,13000,14000,15000,30000,34000,48000,40000,35000,,175,160,,175,125,
sarojininagar,33,54,9,,"ओमेक्स (अहमामऊ, सरसवां, अरदौनामऊ)",111 लखनऊ,,35000,39000,43000,47000,30000,34000,75000,70000,65000,,,,,,,
sarojininagar,34,54,10,,ओमेक्स सिटी,003 राजा बिजली पासी,,25000,28000,31000,34000,30000,34000,50000,40000,35000,,,,,,,
sarojininagar,34,54,11,,ओमेक्स मेट्रो सिटी,101 बिजनौर,,20000,22000,24000,26000,30000,34000,50000,40000,35000,,,,,,,
sarojininagar,34,54,12,,औरंगाबाद जागीर,003 राजा बिजली पासी,,12000,13000,14000,15000,26000,28000,48000,40000,33000,,375,345,,370,265,
sarojininagar,34,55,13,,औरंगाबाद खालसा,003 राजा बिजली पासी,,12000,13000,14000,15000,26000,28000,48000,40000,33000,,375,345,,370,265,
sarojininagar,34,55,14,,इब्राहिमपुर (रेवतापुर),001 इब्राहिमपुर,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,34,55,15,,ईश्वरी खेड़ा,001 इब्राहिमपुर,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,34,55,16,,उसरी,005 शारदा नगर,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,34,55,17,,उत्तरठिया,001 इब्राहिमपुर,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,34,55,18,,एल्डिको,005 शारदा नगर,,25000,28000,31000,34000,30000,34000,50000,45000,40000,,,,,,,
sarojininagar,35,55,19,,एल्डिको इम्पीरिया,101 बिजनौर,,22000,24000,26000,28000,30000,34000,50000,40000,35000,,,,,,,
sarojininagar,35,55,20,,एल्डिको शौर्य,101 बिजनौर,,20000,22000,24000,26000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,35,55,21,,एम0आर0जी0एफ0 (गोमती ग्रीन्स),111 लखनऊ,,35000,39000,43000,47000,30000,34000,75000,70000,65000,,,,,,,
sarojininagar,35,55,22,,एक्सला रिजाटिको,111 लखनऊ,,22000,24000,26000,28000,30000,34000,50000,40000,35000,,,,,,,
sarojininagar,35,55,23,,कल्ली पश्चिम,101 बिजनौर,,10000,11000,12000,13000,24000,26000,40000,35000,30000,,180,170,,180,130,
sarojininagar,35,55,24,,कल्ली पूरब,101 बिजनौर,,3500,4000,4500,5000,22000,24000,35000,30000,25000,,85,80,,85,60,
sarojininagar,35,56,25,,कृष्ण विहार कॉलोनी,001 इब्राहिमपुर,,9000,10000,11000,12000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,35,56,26,,कुबेर की बगिया,002 खरिका,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
