page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
36,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,कानपुर रोड योजना,,55000,80000,75000,70000,,
36,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,गुडौरा,,55000,80000,75000,70000,,
36,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,ट्रान्सपोर्ट नगर,,55000,80000,75000,70000,,
36,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,फरूखाबाद चिल्लावां,,55000,80000,75000,70000,,
36,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,मान सरोवर योजना,,55000,80000,75000,70000,,
36,1,शहीद पथ पर गोमती नदी से सुल्तानपुर रोड होते हुए कानुपर रोड तक,बेहसा,,55000,80000,75000,70000,,
36,2,पिकैडली होटल चौराहे से प्रियम प्लाजा होते हुए परिकल्प भवन तक,बरगवां (बारा बिरवा),,40000,65000,55000,50000,,
36,2,पिकैडली होटल चौराहे से प्रियम प्लाजा होते हुए परिकल्प भवन तक,कानपुर रोड योजना,,40000,65000,55000,50000,,
36,3,बंगला बाजार पुलिस चौकी से फीनिक्स माल/आशियाना चौराहा हेते हुए कानपुर रोड तक,कानपुर रोड योजना,,40000,65000,52000,40000,,
36,3,बंगला बाजार पुलिस चौकी से फीनिक्स माल/आशियाना चौराहा हेते हुए कानपुर रोड तक,आशियाना,,40000,65000,52000,40000,,
36,4,बंगला बाजार पुल (बिजनौर रोड) से शहीदपथ अण्डरपास एवं मैपल पैराडाइस होते हुये सी०आर०पी०एफ० चौराहा तक,उक्त रोड पर पड़ने वाले समस्त राजस्व ग्राम/मोहल्ले,,40000,45000,40000,35000,,
36,5,बिजनौर रोड (बिजनौर चौराहा/सी०आर०पी०एफ० से बंथरा थाने तक),कुरौनी,,15000,40000,35000,30000,agri_lakh_per_ha=46,
36,5,बिजनौर रोड (बिजनौर चौराहा/सी०आर०पी०एफ० से बंथरा थाने तक),नटकुर,,15000,40000,35000,30000,agri_lakh_per_ha=142,
36,5,बिजनौर रोड (बिजनौर चौराहा/सी०आर०पी०एफ० से बंथरा थाने तक),बंथरा सिकन्दरपुर,,15000,40000,35000,30000,agri_lakh_per_ha=92,
37,6,चुंगी तिराहे से पराग डेरी होते हुए नगर निगम कार्यालय जोन -8 तक,कानपुर रोड योजना,,40000,65000,55000,45000,,
37,6,चुंगी तिराहे से पराग डेरी होते हुए नगर निगम कार्यालय जोन -8 तक,आशियाना,,40000,65000,55000,45000,,
37,7,पकरी पुल से आशियाना चौराहा/पावर हाउस चौराहा होते हुए सांई प्लाजा (निर्वान) तक,कानपुर रोड योजना,,40000,65000,52000,40000,,
37,7,पकरी पुल से आशियाना चौराहा/पावर हाउस चौराहा होते हुए सांई प्लाजा (निर्वान) तक,आशियाना,,40000,65000,52000,40000,,
37,8,बंगला बाजार चौराहे से सिंचाई विभाग पकरी पुल होते हुए बदनाम लड्डू तक,कानपुर रोड योजना,,40000,55000,50000,45000,,
37,8,बंगला बाजार चौराहे से सिंचाई विभाग पकरी पुल होते हुए बदनाम लड्डू तक,कासिमपुर पकरी,,40000,50000,40000,35000,,
37,9,कानपुर रोड से पार्किग नं० 5 होते हुये बिजनौर रोड पर बी०आर०अम्बेडकर यूनिर्वसिटी तक,ट्रान्सपोर्ट नगर,,40000,65000,55000,45000,,
37,10,"कानपुर रोड से पार्किग नं० 9 होते हुये दीप शिखा अपार्टमेंट, शिवानी पब्लिक स्कूल होते हुए ब्लू डार्ट आफिस तक",ट्रान्सपोर्ट नगर,,40000,65000,55000,45000,,
37,11,जियो पेट्रोल पम्प से पार्किंग नं० 10 के सामने शहीदपथ तक,ट्रान्सपोर्ट नगर,,40000,65000,55000,45000,,
38,12,मॉ का आर्शिवाद बिल्डिंग से एच०पी० पेट्रोल पम्प के बगल से पार्किंग नं० 3 तक,ट्रान्सपोर्ट नगर,,40000,65000,55000,45000,,
38,13,रेलवे लाइन पार्किंग नं० 1 से इन्डसईन्ड एं०टी०एम० होते हुये शहीदपथ तक,ट्रान्सपोर्ट नगर,,40000,65000,55000,45000,,
38,14,शहीदपथ ओयो होम टाउन हाउस 217 से बैंक ऑफ बडौदा पार्किंग नं० 5 होते हुये होटल त्रिजलइन तक,ट्रान्सपोर्ट नगर,,40000,65000,55000,45000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,अमौसी,,60000,50000,40000,30000,,shop 50000 below nonagri 60000 as printed
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,गहरू,,60000,90000,70000,50000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,गौरी,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,फर्रूखाबाद चिल्लावां,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,बरगवा (बारा बिरवा),,60000,112000,87000,70000,,office 87000 breaks pattern (others 80000) but clearly printed
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,बल्दी खेड़ा,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,ट्रांसपोर्टनगर,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,बेहसा,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,मीरानपुर पिनवट,,60000,50000,40000,30000,agri_lakh_per_ha=170,shop 50000 below nonagri 60000 as printed
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,शान्ती नगर,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,सरोजनी नगर,,60000,112000,80000,70000,,
38,15,कानपुर रोड पर श्रृंगार नगर/अवध अस्पताल से नगर निगम की सीमा तक,हिन्द नगर,,60000,112000,80000,70000,,
39,16,कानपुर रोड पर नगर निगम की सीमा के बाहर तहसील सरोजनी नगर की अंतिम सीमा तक,औरावां,,30000,50000,40000,30000,agri_lakh_per_ha=148,
39,16,कानपुर रोड पर नगर निगम की सीमा के बाहर तहसील सरोजनी नगर की अंतिम सीमा तक,खान्डेदेव,,30000,50000,40000,30000,agri_lakh_per_ha=148,
39,16,कानपुर रोड पर नगर निगम की सीमा के बाहर तहसील सरोजनी नगर की अंतिम सीमा तक,बन्थरा सिकन्दरपुर,,30000,50000,40000,30000,agri_lakh_per_ha=148,
39,16,कानपुर रोड पर नगर निगम की सीमा के बाहर तहसील सरोजनी नगर की अंतिम सीमा तक,बनी,,30000,50000,40000,30000,agri_lakh_per_ha=148,
39,16,कानपुर रोड पर नगर निगम की सीमा के बाहर तहसील सरोजनी नगर की अंतिम सीमा तक,सरायं शहजादी,,30000,50000,40000,30000,agri_lakh_per_ha=148,
39,17,कानपुर रोड स्थित जुनाबगंज चौराहा से प्रयागराज-मोहनलालगंज रोड पर भागूखेडा चौराहा तक,किसुनपुर कौड़िया,,15000,40000,35000,30000,agri_lakh_per_ha=52,
39,17,कानपुर रोड स्थित जुनाबगंज चौराहा से प्रयागराज-मोहनलालगंज रोड पर भागूखेडा चौराहा तक,खसरवारा,,15000,40000,35000,30000,agri_lakh_per_ha=52,
