sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar2,27,42,1,,अनौरा,0201 सरोजनी नगर वार्ड,,8000,9000,10000,11000,25000,27000,30000,29000,28000,,280,250,,280,200,serial printed as 1* (footnote: clerical error corrected per SR report)
sarojininagar2,27,42,2,,अन्धपुर उमराव,0101 बिजनौर,,4000,5000,6000,7000,20000,22000,25000,24000,23000,,98,88,,98,70,
sarojininagar2,27,42,3,,अन्धपुर देव,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,27,42,4,,अमावां,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,27,42,5,,अमौसी,0195 सरोजनी नगर वार्ड,,12000,13000,14000,15000,25000,27000,30000,29000,28000,,370,330,,370,265,
sarojininagar2,27,42,6,,अली नगर सुनहरा,0196 सरोजनी नगर वार्ड,,8000,8800,9900,10400,25000,27000,30000,29000,28000,,277,248,,277,198,
sarojininagar2,27,42,7,,अवध विहार कालोनी,0302 सरोजनी नगर वार्ड,,8500,9200,10000,10400,24000,26000,29000,28000,27000,,,,,,,
sarojininagar2,27,42,8,,आजाद विहार कालोनी,0101 बिजनौर,,2500,2700,3000,3300,20000,22000,25000,24000,23000,,,,,,,
sarojininagar2,27,42,9,,आदमपुर इन्दवारा,0113 परगना काकोरी,,2500,2700,3300,3800,20000,22000,25000,24000,23000,,94,88,,94,70,
sarojininagar2,27,42,10,,आशियाना,0007 विद्य्यावती देवीनगर,,24000,26500,29000,31000,26000,28000,58000,45000,36000,,,,,,,
sarojininagar2,27,42,11,,इब्राहिमगंज,0113 परगना काकोरी,,5000,6000,7000,8000,20000,22000,25000,24000,23000,,94,88,,94,70,
sarojininagar2,27,42,12,,ऍन,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,27,42,13,,औरावां,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,27,42,14,,कलिया खेड़ा,0101 बिजनौर,,5500,6000,6600,7200,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,28,43,15,,कलिया खेड़ा (अनन्त नगर योजना),0101 बिजनौर,,15000,16000,17000,18000,25000,27000,30000,29000,28000,,,,,,,
