sro,serial,village_hi,category,road_hi,note
sadar4,2,अमेठिया सलेमपुर,nh,,p2: continued from p1
sadar4,2,अमेठिया सलेमपुर,link,,p2: continued from p1
sadar4,2,अमेठिया सलेमपुर,abadi,,p2: continued from p1
sadar4,4,करझन,link,,p3: continued from p2
sadar4,6,काकोरी,nh,,p4: continued from p3
sadar4,6,काकोरी,link,,p4: continued from p3
sadar4,6,काकोरी,link,,p5: continued from p3
sadar4,6,काकोरी,link,,p6: continued from p3
sadar4,6,काकोरी,abadi,,p4: continued from p3
sadar4,6,काकोरी,abadi,,p5: continued from p3
sadar4,7,कुशमौरा हुलवापुर,nh,,"p6: printed '2762, /2302' (stray comma; read as 2762/2302)"
sadar4,7,कुशमौरा हुलवापुर,link,,p7: continued from p6; printed '12951296' (missing comma; split as 1295;1296)
sadar4,7,कुशमौरा हुलवापुर,link,,p8: continued from p6
sadar4,9,कोल्हुवा गाढा,abadi,,p8: remark: ग्राम नगर निगम सीमा के अन्तर्गत शहरीकरण हो चुका है।
sadar4,11,गाजीपुर बलराम,abadi,,"p9: remark: ग्राम का पूर्व में शहरीकरण हो चुका है। ग्राम नगर निगम के अन्तर्गत है।; printed '80मि0' (मि0 abbrev); last token '2' is a number split across page end, continues on p10"
sadar4,11,गाजीपुर बलराम,abadi,,"p10: first token 261 joined across pages (p-09 ends ""2,"" p-10 starts ""61,""); village serial 11 continued"
sadar4,14,गौरभीठ,abadi,,"p10: remark: ग्राम नगर निगम सीमा के अन्तर्गत शहरीकरण हो चुका है।; cell continues on p-11 (trailing ""1"" joined there as 126)"
sadar4,14,गौरभीठ,abadi,,"p11: serial 14 गौरभीठ continued; first token 126 joined across pages (p-10 ends ""1,""); cell continues on p-12 (trailing ""4"" joined there as 432)"
sadar4,14,गौरभीठ,abadi,,"p12: serial 14 गौरभीठ continued; first token 432 joined across pages (p-11 ends ""4,"")"
sadar4,17,चकपरेवा,link,,p12: remark: ग्राम में चकबन्दी नही हुई है।
sadar4,17,चकपरेवा,abadi,,p12: remark: ग्राम में चकबन्दी नही हुई है।
sadar4,18,टेडवा,nh,,"p12: cell continues on p-13 (trailing ""12"" joined there as 125)"
sadar4,18,टेडवा,nh,,"p13: serial 18 टेडवा continued; first token 125 joined across pages (p-12 ends ""12""); ""128,,157"" double comma as printed"
sadar4,18,टेडवा,link,,"p12: ""294284"" printed without comma (likely 294;284)"
sadar4,19,दरियापुर,none,,"p13: all categories ""—""; remark: सम्पूर्ण ग्राम में शहरीकरण हो चुका है।"
sadar4,22,दाऊदनगर,link,,p13: cell continues on p-14
sadar4,22,दाऊदनगर,link,,p14: serial 22 दाऊदनगर continued
sadar4,22,दाऊदनगर,abadi,,p13: cell continues on p-14
sadar4,22,दाऊदनगर,abadi,,p14: serial 22 दाऊदनगर continued
sadar4,23,दुर्गागंज,none,,"p14: all categories ""—""; remark: ग्राम काकोरी का मजरा है।"
sadar4,24,नरौना,link,,"p14: cell continues on p-15 (trailing ""4"" joined there as 400)"
sadar4,24,नरौना,link,,"p15: serial 24 नरौना continued; first token 400 joined across pages (p-14 ends ""4"")"
sadar4,24,नरौना,abadi,,p14: cell continues on p-15
sadar4,24,नरौना,abadi,,"p15: serial 24 नरौना continued; cell continues on p-16 (trailing ""3"" joined there as 396)"
sadar4,24,नरौना,abadi,,"p16: serial 24 नरौना continued; first token 396 joined across pages (p-15 ends ""3"")"
sadar4,25,नौबरता खुर्द,abadi,,p16: remark: ग्राम का पूर्व में शहरीकरण हो चुका है। ग्राम नगर निगम के अन्तर्गत है।
sadar4,27,पहिया आजमपुर,link,,"p17: ""205,,206"" double comma as printed"
sadar4,28,पीरनगर,link,,"p17: remark: महोदय, ग्राम एल0डी0ए0 द्वारा अधिग्रहीत है। पूर्ण में शहरीकरण हो चुका है।"
sadar4,29,फैजुल्लागंज,link,,"p18: ""35,35,35"" repeated as printed; remark: ग्राम फैजुल्लागंज नगर सीमा के अन्तर्गत तथा पूर्ण आबादी विकसित है।"
sadar4,29,फैजुल्लागंज,abadi,,"p18: ""257258"" printed without comma (likely 257;258); last token ""31"" is a fragment, cell continues on p-19; remark: ग्राम फैजुल्लागंज नगर सीमा के अन्तर्गत तथा पूर्ण आबादी विकसित है।; 311 joined across p18/p19"
sadar4,29,फैजुल्लागंज,abadi,,p19: first token '1' completes 311 split from p.18 ('31' + '1')
sadar4,30,बडा गांव,nh,,p19: cell continues on p.20
sadar4,30,बडा गांव,nh,,p20: continuation of serial 30 (बडा गांव)
sadar4,30,बडा गांव,link,,"p19: printed '174175' (missing comma; likely 174,175); last token '11' + '76' on p.20 = 1176; 1176 joined across p19/p20"
sadar4,30,बडा गांव,link,,"p20: continuation of serial 30; first token '76' completes 1176 from p.19; printed '667665' (missing comma; likely 667,665)"
sadar4,30,बडा गांव,link,,p21: continuation of serial 30 (बडा गांव)
sadar4,30,बडा गांव,abadi,,p19: cell continues on p.20
sadar4,30,बडा गांव,abadi,,"p20: continuation of serial 30; '16946' and '16499' printed as such (likely typos, e.g. 1694/1646?)"
sadar4,31,बरावन कलां,nh,,p21: remark: ग्राम नगर निगम में है। पूर्ण रूप में शहरीकरण हो चुका है।
sadar4,31,बरावन कलां,abadi,,p21: remark: ग्राम नगर निगम में है। पूर्ण रूप में शहरीकरण हो चुका है।; cell continues on p.22-27
sadar4,31,बरावन कलां,abadi,,p22: continuation of serial 31 (बरावन कलां); stray mark 'I' between 582 and 601 omitted; last token '9' + '32' on p.23 = 932; 932 joined across p22/p23
sadar4,31,बरावन कलां,abadi,,p23: continuation of serial 31; first token '32' completes 932 from p.22; last token '5' + '1' on p.24 = 51; 51 joined across p23/p24
sadar4,31,बरावन कलां,abadi,,"p24: continuation of serial 31; first token '1' completes 51 from p.23; '5611158' = '5611' at line end + '158' with no comma (likely 561,1158 or 5611,158)"
sadar4,31,बरावन कलां,abadi,,"p25: continuation of serial 31; digit unclear 48? (could be 43); '091' printed with leading zero; '107170' printed without comma (likely 1071,70 or 107,170)"
