sro,sro_name,effective_date,serial,village_hi,nh,district,link,abadi,roads,notes
bkt,Bakshi Ka Talab,01-08-2025,1,अरम्बा,0,0,113,45,,
bkt,Bakshi Ka Talab,01-08-2025,2,अचरामऊ,0,0,180,39,,
bkt,Bakshi Ka Talab,01-08-2025,3,अल्दमपुर,0,0,168,27,,
bkt,Bakshi Ka Talab,01-08-2025,4,अधार खेडा,0,0,50,0,,remark: abadi cell text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,Bakshi Ka Talab,01-08-2025,5,अर्जुनपुर,29,0,47,36,,
bkt,Bakshi Ka Talab,01-08-2025,6,अजनहर कला,0,0,27,0,,remark: abadi cell text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,Bakshi Ka Talab,01-08-2025,7,अहमदपुर खेड़ा,0,0,22,18,,
bkt,Bakshi Ka Talab,01-08-2025,8,असनहा,0,0,25,26,,
bkt,Bakshi Ka Talab,01-08-2025,9,अस्ती,48,0,93,14,,
bkt,Bakshi Ka Talab,01-08-2025,10,अटेसुवा,0,0,30,38,,
bkt,Bakshi Ka Talab,01-08-2025,11,अकबरपुर,0,0,22,10,,
bkt,Bakshi Ka Talab,01-08-2025,12,अतरौरा,0,0,117,76,,
bkt,Bakshi Ka Talab,01-08-2025,13,इन्दारा,0,0,136,53,,
bkt,Bakshi Ka Talab,01-08-2025,14,इटौंजा,0,0,85,96,,
bkt,Bakshi Ka Talab,01-08-2025,15,उमरभारी,0,0,45,15,,
bkt,Bakshi Ka Talab,01-08-2025,16,उमरिया,0,0,18,33,,
bkt,Bakshi Ka Talab,01-08-2025,17,उसरना,0,0,85,77,,
bkt,Bakshi Ka Talab,01-08-2025,18,उनई,0,0,74,15,,
bkt,Bakshi Ka Talab,01-08-2025,19,कुम्हरावॉ,0,0,242,90,,
bkt,Bakshi Ka Talab,01-08-2025,20,कुंवरपुर,0,0,57,6,,
bkt,Bakshi Ka Talab,01-08-2025,21,कुनौरा,0,0,84,47,,
bkt,Bakshi Ka Talab,01-08-2025,22,केसरमऊ खुर्द,0,0,12,26,,
bkt,Bakshi Ka Talab,01-08-2025,23,केसरमऊ कला,0,0,96,39,,
bkt,Bakshi Ka Talab,01-08-2025,24,कपासी,0,0,25,21,,
bkt,Bakshi Ka Talab,01-08-2025,25,कमलापुर,0,0,73,8,,
bkt,Bakshi Ka Talab,01-08-2025,26,कमलाबाद बढौली,40,0,82,0,,cell text (no numbers): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। | cell text (no numbers): वर्तमान मे ग्राम नगर पंचायत बी0के0टी0 सीमा के अन्तर्गत आता है।
bkt,Bakshi Ka Talab,01-08-2025,27,कमलाबाद,0,0,5,4,,
bkt,Bakshi Ka Talab,01-08-2025,28,कमालपुर सिरसा,36,0,72,70,,
